"Asikli","Gedik Pasa","Kocatepe","Cafer Huyuk","Boy Tepe","Papazgolu","Golbent Ergani","Cinaz Huyuk","Gobekli","Djade","Cheikh Hassan","Mureybet","Abu Hureyra","Ghoraife","Aswad","Guran","Tell Abdul Hosein","Ali Kosh","Beidha","Yiftael","Kfar Hahoresh","Mujahiya","Nahal Lavan","Jericho","Shillourokambos","Cayonu","Munhata","Nahal Oren","Mikhmoret","Birikin Magarasi","Nevshehir Kogulalti","Halula","Akarcay Tepe","Horvat Galil"
"Asikli",0,0.061,0.049,0,0,0,0,0,0.324,0.406,0.695,0.195,0.117,0.302,0.642,0,0,0,0.379,0.834,0.786,0.712,0.588,0.985,0.757,0,0.109,0.974,0.85,0,0.925,0.057,0.041,0.905
"Gedik Pasa",0.061,0,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0.42,0,0,0,0,0,0,0
"Kocatepe",0.049,0.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0.47,0,0,0,0,0,0,0
"Cafer Huyuk",0,0,0,0,0.884,0.645,0.637,0.913,0.291,0.063,0,0.112,0.107,0.012,0,0.095,0.026,0.768,0.023,0,0,0,0,0,0,0.117,0,0,0,0.887,0,0.081,0.019,0
"Boy Tepe",0,0,0,0.884,0,0,0,0.266,0.15,0.095,0,0.052,0.036,0,0,0.027,0,0.439,0,0,0,0,0,0,0,0.027,0,0,0,0.491,0,0.016,0,0
"Papazgolu",0,0,0,0.645,0,0,0.514,0.571,0.545,0.086,0,0.05,0.698,0.02,0.178,0.688,0.058,0,0,0,0,0,0,0,0,0.973,0,0,0,0,0,0.55,0.275,0
"Golbent Ergani",0,0,0,0.637,0,0.514,0,0.548,0.56,0.074,0,0.041,0.687,0.028,0.172,0.664,0.058,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0.568,0.279,0
"Cinaz Huyuk",0,0,0,0.913,0.266,0.571,0.548,0,0.368,0.062,0,0.036,0.186,0.016,0.097,0.383,0.024,0.188,0,0,0,0,0,0,0,0.573,0,0,0,0.283,0,0.183,0,0
"Gobekli",0.324,0,0,0.291,0.15,0.545,0.56,0.368,0,0.336,0.282,0.455,0.676,0.801,0.421,0.339,0.284,0.266,0.94,0.277,0.284,0.28,0.365,0.15,0.367,0.295,0,0.266,0.271,0.153,0.276,0.818,0.892,0.277
"Djade",0.406,0,0,0.063,0.095,0.086,0.074,0.062,0.336,0,0.598,0.379,0.194,0.407,0.491,0.024,0,0.15,0.471,0.748,0.704,0.584,0.39,0.971,0.434,0.068,0,0.933,0.781,0.074,0.879,0.163,0.055,0.889
"Cheikh Hassan",0.695,0,0,0,0,0,0,0,0.282,0.598,0,0.156,0.041,0.192,0.999,0,0,0,0.287,0.999,0.989,1,1,0.991,0.974,0,0,0.987,0.957,0,0.971,0.016,0.018,0.961
"Mureybet",0.195,0,0,0.112,0.052,0.05,0.041,0.036,0.455,0.379,0.156,0,0.153,0.912,0.354,0.062,0.05,0.091,0.985,0.246,0.2,0.152,0.259,0.505,0.264,0.121,0,0.243,0.23,0.046,0.333,0.165,0.239,0.305
"Abu Hureyra",0.117,0,0,0.107,0.036,0.698,0.687,0.186,0.676,0.194,0.041,0.153,0,0.193,0.302,0.422,0.094,0.061,0.258,0.029,0.044,0.049,0.207,0.035,0.2,0.23,0,0.061,0.041,0.034,0.018,0.987,0.8,0.019
"Ghoraife",0.302,0,0,0.012,0,0.02,0.028,0.016,0.801,0.407,0.192,0.912,0.193,0,0.52,0.029,0.027,0,0.88,0.239,0.232,0.228,0.404,0.204,0.395,0.039,0,0.234,0.142,0,0.225,0.128,0.395,0.214
"Aswad",0.642,0,0,0,0,0.178,0.172,0.097,0.421,0.491,0.999,0.354,0.302,0.52,0,0.036,0.008,0,0.596,0.994,1,0.999,0.987,1,0.9,0.004,0,1,1,0,1,0.227,0.245,1
"Guran",0,0,0,0.095,0.027,0.688,0.664,0.383,0.339,0.024,0,0.062,0.422,0.029,0.036,0,0.239,0.046,0.019,0,0,0,0,0,0,0.945,0,0,0,0.025,0,0.319,0.39,0
"Tell Abdul Hosein",0,0,0,0.026,0,0.058,0.058,0.024,0.284,0,0,0.05,0.094,0.027,0.008,0.239,0,0,0.013,0,0,0,0,0,0,0.135,0,0,0,0,0,0.085,0.351,0
"Ali Kosh",0,0,0,0.768,0.439,0,0,0.188,0.266,0.15,0,0.091,0.061,0,0,0.046,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.466,0,0.032,0,0
"Beidha",0.379,0,0,0.023,0,0,0,0,0.94,0.471,0.287,0.985,0.258,0.88,0.596,0.019,0.013,0,0,0.311,0.358,0.337,0.429,0.266,0.433,0.02,0,0.191,0.234,0,0.29,0.188,0.45,0.296
"Yiftael",0.834,0,0,0,0,0,0,0,0.277,0.748,0.999,0.246,0.029,0.239,0.994,0,0,0,0.311,0,0.994,0.998,1,0.948,0.99,0,0,0.903,0.991,0,0.979,0,0.018,0.972
"Kfar Hahoresh",0.786,0,0,0,0,0,0,0,0.284,0.704,0.989,0.2,0.044,0.232,1,0,0,0,0.358,0.994,0,1,1,0.958,0.99,0,0,0.933,0.993,0,0.929,0.002,0.016,0.919
"Mujahiya",0.712,0,0,0,0,0,0,0,0.28,0.584,1,0.152,0.049,0.228,0.999,0,0,0,0.337,0.998,1,0,1,0.999,0.983,0,0,0.992,1,0,0.997,0.009,0.014,0.998
