Site,AgicolEastAC,AgicolWest,GolluDagEast,NeneziDag,BingolB,BingolA-NemrutDag
Asikli,0,1,34,5,0,0
Gedik Pasa,0,0,0,2,0,0
Kocatepe,0,0,0,2,0,0
Cafer Huyuk,0,0,0,0,17,4
Boy Tepe,0,0,0,0,2,0
Papazgolu,0,0,0,0,1,1
Golbent Ergani,0,0,0,0,1,1
Cinaz Huyuk,0,0,0,0,2,1
Gobekli,0,0,41,0,15,38
Djade,1,0,45,0,9,1
Cheikh Hassan,0,0,12,0,0,0
Mureybet,0,0,17,0,3,6
Abu Hureyra,0,0,6,0,5,11
Ghoraife,0,0,4,0,0,2
Aswad,0,0,103,0,0,2
Guran,0,0,0,0,2,4
Tell Abdul Hosein,0,0,0,0,0,11
Ali Kosh,0,0,0,0,1,0
Beidha,0,0,2,0,0,1
Yiftael,0,0,7,0,0,0
Kfar Hahoresh,0,0,8,0,0,0
Mujahiya,0,0,13,0,0,0
Nahal Lavan,0,0,68,0,0,0
Jericho,0,0,2,0,0,0
Shillourokambos,0,0,61,3,0,0
Cayonu,0,0,0,0,6,9
Munhata,0,0,0,1,0,0
Nahal Oren,0,0,1,0,0,0
Mikhmoret,0,0,6,0,0,0
Birikin Magarasi,0,0,0,0,2,0
Nevshehir Kogulalti,0,0,4,0,0,0
Halula,0,0,2,0,2,4
Akarcay Tepe,0,0,1,0,0,2
Horvat Galil,0,0,4,0,0,0
