Site,AgicolEastAC,GolluDagEast,NeneziDag,BingolB,MeydanDag,3d,BingolA-NemrutDag
el-Khiam,0,1,0,0,0,0,0
Tamerkhan,0,0,0,0,0,0,1
Tell es-Sinn,0,0,0,1,0,0,1
Shimshara,0,0,0,2,0,0,0
Ras Shamra,0,2,0,0,0,1,0
Tell Sabi Abyad I,0,0,0,1,0,0,2
Ain Miri,0,3,0,0,0,0,0
Wadi Tumbaq,0,3,0,0,0,0,0
Guran,0,0,0,2,0,0,2
Assouad,0,0,0,3,0,0,2
Tell Ramad,0,3,0,0,0,0,2
Ali Kosh,0,0,0,3,0,0,2
Tell Labweh,0,3,1,2,0,0,0
Jarmo,0,0,0,4,0,0,6
Akarcay Tepe,0,0,0,11,0,0,2
Halula,3,1,0,7,0,0,3
Bouqras,0,0,0,7,0,0,8
Ghoraife,0,4,0,7,0,0,7
Tell Sabi Abyad II,0,0,0,0,0,0,21
Beisamoun,0,27,1,0,1,0,1
Gurcutepe I,0,6,1,12,0,0,15
Magzalia,0,0,0,11,0,0,25
Abu Hureyra,0,8,0,16,0,0,24
Shillourokambos,0,61,3,0,0,0,0
Choga Sefid,0,0,0,7,0,0,0
Tell el-Kerkh 2,0,93,8,9,0,0,3
