,el-Khiam,Tamerkhan,Tell es-Sinn,Shimshara,Ras Shamra,Tell Sabi Abyad I,Ain Miri,Wadi Tumbaq,Guran,Assouad,Tell Ramad,Ali Kosh,Tell Labweh,Jarmo,Akarcay Tepe,Halula,Bouqras,Ghoraife,Tell Sabi Abyad II,Beisamoun,Gurcutepe I,Magzalia,Abu Hureyra,Shillourokambos,Choga Sefid,Tell el-Kerkh 2
el-Khiam,200,0,0,0,133,0,200,200,0,0,120,0,100,0,0,14,0,44,0,180,35,0,33,191,0,165
Tamerkhan,0,200,100,0,0,133,0,0,100,80,80,80,0,120,31,43,107,78,200,7,88,139,100,0,0,5
Tell es-Sinn,0,100,200,100,0,167,0,0,200,180,80,180,67,180,131,143,193,156,100,7,159,161,167,0,100,21
Shimshara,0,0,100,200,0,67,0,0,100,120,0,120,67,80,169,100,93,78,0,0,71,61,67,0,200,16
Ras Shamra,133,0,0,0,200,0,133,133,0,0,120,0,100,0,0,14,0,44,0,133,35,0,33,133,0,133
Tell Sabi Abyad I,0,133,167,67,0,200,0,0,167,147,80,147,67,187,97,110,173,144,133,7,155,194,167,0,67,21
Ain Miri,200,0,0,0,133,0,200,200,0,0,120,0,100,0,0,14,0,44,0,180,35,0,33,191,0,165
Wadi Tumbaq,200,0,0,0,133,0,200,200,0,0,120,0,100,0,0,14,0,44,0,180,35,0,33,191,0,165
Guran,0,100,200,100,0,167,0,0,200,180,80,180,67,180,131,143,193,156,100,7,159,161,167,0,100,21
Assouad,0,80,180,120,0,147,0,0,180,200,80,200,67,160,151,143,173,156,80,7,151,141,147,0,120,21
Tell Ramad,120,80,80,0,120,80,120,120,80,80,200,80,100,80,31,57,80,122,80,127,115,80,113,120,0,125
Ali Kosh,0,80,180,120,0,147,0,0,180,200,80,200,67,160,151,143,173,156,80,7,151,141,147,0,120,21
Tell Labweh,100,0,67,67,100,67,100,100,67,67,100,67,200,67,67,81,67,111,0,107,108,61,100,109,67,130
Jarmo,0,120,180,80,0,187,0,0,180,160,80,160,67,200,111,123,187,156,120,7,159,181,167,0,80,21
Akarcay Tepe,0,31,131,169,0,97,0,0,131,151,31,151,67,111,200,131,124,109,31,7,101,92,97,0,169,21
Halula,14,43,143,100,14,110,14,14,143,143,57,143,81,123,131,200,136,135,43,21,128,104,124,14,100,36
Bouqras,0,107,193,93,0,173,0,0,193,173,80,173,67,187,124,136,200,156,107,7,159,168,167,0,93,21
Ghoraife,44,78,156,78,44,144,44,44,156,156,122,156,111,156,109,135,156,200,78,51,184,139,178,44,78,66
Tell Sabi Abyad II,0,200,100,0,0,133,0,0,100,80,80,80,0,120,31,43,107,78,200,7,88,139,100,0,0,5
Beisamoun,180,7,7,0,133,7,180,180,7,7,127,7,107,7,7,21,7,51,7,200,48,7,40,187,0,177
Gurcutepe I,35,88,159,71,35,155,35,35,159,151,115,151,108,159,101,128,159,184,88,48,200,149,188,41,71,62
Magzalia,0,139,161,61,0,194,0,0,161,141,80,141,61,181,92,104,168,139,139,7,149,200,161,0,61,21
Abu Hureyra,33,100,167,67,33,167,33,33,167,147,113,147,100,167,97,124,167,178,100,40,188,161,200,33,67,55
Shillourokambos,191,0,0,0,133,0,191,191,0,0,120,0,109,0,0,14,0,44,0,187,41,0,33,200,0,174
Choga Sefid,0,0,100,200,0,67,0,0,100,120,0,120,67,80,169,100,93,78,0,0,71,61,67,0,200,16
Tell el-Kerkh 2,165,5,21,16,133,21,165,165,21,21,125,21,130,21,21,36,21,66,5,177,62,21,55,174,16,200
