"el-Khiam","Tamerkhan","Tell es-Sinn","Shimshara","Ras Shamra","Tell Sabi Abyad I","Ain Miri","Wadi Tumbaq","Guran","Assouad","Tell Ramad","Ali Kosh","Tell Labweh","Jarmo","Akarcay Tepe","Halula","Bouqras","Ghoraife","Tell Sabi Abyad II","Beisamoun","Gurcutepe I","Magzalia","Abu Hureyra","Shillourokambos","Choga Sefid","Tell el-Kerkh 2"
"el-Khiam",0,0,0,0,0.485,0,0.859,0.862,0,0,0.564,0,0.446,0,0,0,0,0.099,0,1,0.184,0,0.254,1,0,1
"Tamerkhan",0,0,0,0,0,0.485,0,0,0.364,0.22,0.21,0.27,0,0.722,0.083,0.111,0.635,0.256,1,0,0.459,0.995,0.719,0,0,0.491
"Tell es-Sinn",0,0,0,0,0,0.531,0,0,0.875,0.84,0.067,0.851,0.063,0.964,0.722,0.789,0.998,0.969,0.406,0,0.984,0.99,1,0,0.304,0.174
"Shimshara",0,0,0,0,0,0,0,0,0.129,0.241,0,0.29,0.048,0.129,0.962,0.287,0.225,0.127,0,0,0.096,0.073,0.102,0,0.999,0.177
"Ras Shamra",0.485,0,0,0,0,0,0.127,0.141,0,0,0.382,0,0.342,0,0,0.009,0,0.008,0,0.78,0.021,0,0.027,0.943,0,0.988
"Tell Sabi Abyad I",0,0.485,0.531,0,0,0,0,0,0.686,0.512,0.09,0.53,0.04,0.97,0.308,0.396,0.937,0.744,0.676,0.029,0.926,0.998,0.968,0,0.063,0.079
"Ain Miri",0.859,0,0,0,0.127,0,0,0.732,0,0,0.33,0,0.1,0,0,0,0,0.009,0,0.987,0.026,0,0.034,0.999,0,0.998
"Wadi Tumbaq",0.862,0,0,0,0.141,0,0.732,0,0,0,0.339,0,0.102,0,0,0,0,0.014,0,0.986,0.024,0,0.041,0.999,0,0.999
"Guran",0,0.364,0.875,0.129,0,0.686,0,0,0,0.902,0.015,0.891,0.017,0.939,0.552,0.642,0.995,0.856,0.303,0,0.915,0.924,0.967,0,0.149,0.031
"Assouad",0,0.22,0.84,0.241,0,0.512,0,0,0.902,0,0.007,0.9,0.008,0.703,0.687,0.649,0.876,0.82,0.108,0,0.823,0.777,0.873,0,0.334,0.018
"Tell Ramad",0.564,0.21,0.067,0,0.382,0.09,0.33,0.339,0.015,0.007,0,0.01,0.082,0.034,0.003,0.025,0.069,0.436,0.103,0.577,0.474,0.161,0.551,0.67,0,0.818
"Ali Kosh",0,0.27,0.851,0.29,0,0.53,0,0,0.891,0.9,0.01,0,0.007,0.695,0.721,0.631,0.86,0.799,0.115,0,0.839,0.795,0.866,0,0.345,0.01
"Tell Labweh",0.446,0,0.063,0.048,0.342,0.04,0.1,0.102,0.017,0.008,0.082,0.007,0,0.028,0.032,0.076,0.026,0.246,0,0.355,0.369,0.068,0.36,0.546,0.029,0.873
"Jarmo",0,0.722,0.964,0.129,0,0.97,0,0,0.939,0.703,0.034,0.695,0.028,0,0.216,0.345,0.982,0.752,0.373,0,0.827,0.958,0.918,0,0.052,0.002
"Akarcay Tepe",0,0.083,0.722,0.962,0,0.308,0,0,0.552,0.687,0.003,0.721,0.032,0.216,0,0.427,0.344,0.197,0.001,0,0.234,0.194,0.292,0,0.854,0.009
"Halula",0,0.111,0.789,0.287,0.009,0.396,0,0,0.642,0.649,0.025,0.631,0.076,0.345,0.427,0,0.469,0.45,0.003,0,0.461,0.275,0.475,0,0.121,0.047
"Bouqras",0,0.635,0.998,0.225,0,0.937,0,0,0.995,0.876,0.069,0.86,0.026,0.982,0.344,0.469,0,0.698,0.207,0,0.786,0.857,0.884,0,0.107,0.014
"Ghoraife",0.099,0.256,0.969,0.127,0.008,0.744,0.009,0.014,0.856,0.82,0.436,0.799,0.246,0.752,0.197,0.45,0.698,0,0.071,0.028,0.958,0.547,0.905,0.053,0.06,0.294
"Tell Sabi Abyad II",0,1,0.406,0,0,0.676,0,0,0.303,0.108,0.103,0.115,0,0.373,0.001,0.003,0.207,0.071,0,0,0.168,0.574,0.289,0,0,0
"Beisamoun",1,0,0,0,0.78,0.029,0.987,0.986,0,0,0.577,0,0.355,0,0,0,0,0.028,0,0,0.026,0,0.015,0.967,0,0.92
"Gurcutepe I",0.184,0.459,0.984,0.096,0.021,0.926,0.026,0.024,0.915,0.823,0.474,0.839,0.369,0.827,0.234,0.461,0.786,0.958,0.168,0.026,0,0.664,0.963,0.024,0.106,0.256
"Magzalia",0,0.995,0.99,0.073,0,0.998,0,0,0.924,0.777,0.161,0.795,0.068,0.958,0.194,0.275,0.857,0.547,0.574,0,0.664,0,0.751,0,0.069,0.004
"Abu Hureyra",0.254,0.719,1,0.102,0.027,0.968,0.034,0.041,0.967,0.873,0.551,0.866,0.36,0.918,0.292,0.475,0.884,0.905,0.289,0.015,0.963,0.751,0,0.01,0.133,0.158
"Shillourokambos",1,0,0,0,0.943,0,0.999,0.999,0,0,0.67,0,0.546,0,0,0,0,0.053,0,0.967,0.024,0,0.01,0,0,0.835
"Choga Sefid",0,0,0.304,0.999,0,0.063,0,0,0.149,0.334,0,0.345,0.029,0.052,0.854,0.121,0.107,0.06,0,0,0.106,0.069,0.133,0,0,0.001
"Tell el-Kerkh 2",1,0.491,0.174,0.177,0.988,0.079,0.998,0.999,0.031,0.018,0.818,0.01,0.873,0.002,0.009,0.047,0.014,0.294,0,0.92,0.256,0.004,0.158,0.835,0.001,0
