Site,Agicol East AC,Gollu Dag East,Nenezi Dag,Bingol A,Bingol B,Nemrut Dag,Bingol A-Nemrut Dag,Meydan Dag,3d high in rubidium,
Assouad,0,0,0,0,3,2,0,0,0,0
Halula,3,1,0,1,7,2,0,0,0,0
Abu Hureyra,0,8,0,0,16,0,24,0,0,0
Ras Shamra,0,2,0,0,0,0,0,0,1,0
Bouqras,0,0,0,0,7,6,2,0,0,0
Tell es Sinn,0,0,0,0,1,1,0,0,0,0
Ghoraife,0,4,0,0,7,7,0,0,0,0
Ramad,0,3,0,0,0,0,2,0,0,0
Beisamoun,0,27,1,0,0,1,0,1,0,0
el Khiam,0,1,0,0,0,0,0,0,0,0
Shillourokambos,0,61,3,0,0,0,0,0,0,0
Magzalia,0,0,0,5,11,2,0,0,0,0
Shimshara,0,0,0,0,2,0,0,0,0,0
Jarmo,0,0,0,0,4,0,6,0,0,0
Tamerkhan,0,0,0,0,0,1,0,0,0,0
Guran,0,0,0,0,2,0,2,0,0,0
Choga Sefid,0,0,0,0,7,0,0,0,0,0
Ali Kosh,0,0,0,0,3,0,2,0,0,0
Tell Sabi Abyad I,0,0,0,2,1,0,0,0,0,0
Tell Sabi Abyad II,0,0,0,0,0,0,21,0,0,0
Ain Miri,0,3,0,0,0,0,0,0,0,0
Tell el Kerkh 2,0,93,8,0,9,0,3,0,0,0
Wadi Tumbaq,0,3,0,0,0,0,0,0,0,0
Akarcay Tepe,0,0,0,0,11,0,2,0,0,0
Gurcutepe I,0,6,1,7,12,8,0,0,0,0
Tell Labweh,0,3,1,0,2,0,0,0,0,0
