"Assouad","Halula","Abu Hureyra","Ras Shamra","Bouqras","Tell es Sinn","Ghoraife","Ramad","Beisamoun","el Khiam","Shillourokambos","Magzalia","Shimshara","Jarmo","Tamerkhan","Guran","Choga Sefid","Ali Kosh","Tell Sabi Abyad I","Tell Sabi Abyad II","Ain Miri","Tell el Kerkh 2","Wadi Tumbaq","Akarcay Tepe","Gurcutepe I","Tell Labweh"
"Assouad",0,0.523,0.179,0,0.931,0.902,0.877,0,0,0,0,0.732,0.26,0.04,0.214,0.196,0.316,0.12,0.026,0,0,0.01,0,0.386,0.642,0.006
"Halula",0.523,0,0.269,0.015,0.317,0.719,0.344,0,0,0,0,0.486,0.266,0.071,0.106,0.239,0.12,0.239,0.11,0,0,0.044,0,0.143,0.53,0.088
"Abu Hureyra",0.179,0.269,0,0.041,0.298,0.091,0.326,0.735,0.009,0.28,0.012,0.156,0.11,0.978,0,0.995,0.159,0.946,0.046,0.328,0.032,0.29,0.028,0.335,0.367,0.438
"Ras Shamra",0,0.015,0.041,0,0,0,0.023,0.383,0.871,0.459,0.989,0,0,0,0,0,0,0,0,0,0.136,0.998,0.123,0,0.039,0.356
"Bouqras",0.931,0.317,0.298,0,0,0.982,0.766,0.003,0,0,0,0.258,0.193,0.186,0.244,0.468,0.101,0.365,0.042,0,0,0.008,0,0.278,0.397,0.032
"Tell es Sinn",0.902,0.719,0.091,0,0.982,0,0.958,0,0,0,0,0.722,0,0.107,0,0.099,0.271,0.25,0,0,0,0.167,0,0.308,0.875,0.039
"Ghoraife",0.877,0.344,0.326,0.023,0.766,0.958,0,0.005,0.03,0.13,0.079,0.179,0.102,0.085,0.244,0.139,0.064,0.101,0.03,0,0.015,0.28,0.02,0.079,0.787,0.304
"Ramad",0,0,0.735,0.383,0.003,0,0.005,0,0.598,0.554,0.837,0,0,0.036,0,0.024,0,0.009,0,0.153,0.32,0.958,0.322,0,0.005,0.093
"Beisamoun",0,0,0.009,0.871,0,0,0.03,0.598,0,1,0.99,0,0,0,0,0,0,0,0,0,0.998,0.915,0.999,0,0.036,0.405
"el Khiam",0,0,0.28,0.459,0,0,0.13,0.554,1,0,1,0,0,0,0,0,0,0,0,0,0.884,1,0.882,0,0.227,0.406
"Shillourokambos",0,0,0.012,0.989,0,0,0.079,0.837,0.99,1,0,0,0,0,0,0,0,0,0,0,1,0.754,1,0,0.04,0.63
"Magzalia",0.732,0.486,0.156,0,0.258,0.722,0.179,0,0,0,0,0,0.732,0.08,0.119,0.291,0.41,0.474,0.586,0,0,0,0,0.308,0.56,0.035
"Shimshara",0.26,0.266,0.11,0,0.193,0,0.102,0,0,0,0,0.732,0,0.1,0,0.113,0.999,0.26,0,0,0,0.173,0,0.961,0.087,0.059
"Jarmo",0.04,0.071,0.978,0,0.186,0.107,0.085,0.036,0,0,0,0.08,0.1,0,0,0.961,0.042,0.695,0.056,0.394,0,0,0,0.189,0.105,0.016
"Tamerkhan",0.214,0.106,0,0,0.244,0,0.244,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0
"Guran",0.196,0.239,0.995,0,0.468,0.099,0.139,0.024,0,0,0,0.291,0.113,0.961,0,0,0.137,0.893,0.038,0.342,0,0.034,0,0.581,0.22,0.012
"Choga Sefid",0.316,0.12,0.159,0,0.101,0.271,0.064,0,0,0,0,0.41,0.999,0.042,0,0.137,0,0.29,0.063,0,0,0.003,0,0.906,0.138,0.021
"Ali Kosh",0.12,0.239,0.946,0,0.365,0.25,0.101,0.009,0,0,0,0.474,0.26,0.695,0,0.893,0.29,0,0.033,0.124,0,0.01,0,0.727,0.146,0.005
"Tell Sabi Abyad I",0.026,0.11,0.046,0,0.042,0,0.03,0,0,0,0,0.586,0,0.056,0,0.038,0.063,0.033,0,0,0,0.061,0,0.049,0.677,0.029
"Tell Sabi Abyad II",0,0,0.328,0,0,0,0,0.153,0,0,0,0,0,0.394,0,0.342,0,0.124,0,0,0,0,0,0,0,0
"Ain Miri",0,0,0.032,0.136,0,0,0.015,0.32,0.998,0.884,1,0,0,0,0,0,0,0,0,0,0,1,0.692,0,0.036,0.092
"Tell el Kerkh 2",0.01,0.044,0.29,0.998,0.008,0.167,0.28,0.958,0.915,1,0.754,0,0.173,0,0,0.034,0.003,0.01,0.061,0,1,0,1,0.005,0.271,0.937
"Wadi Tumbaq",0,0,0.028,0.123,0,0,0.02,0.322,0.999,0.882,1,0,0,0,0,0,0,0,0,0,0.692,1,0,0,0.019,0.091
"Akarcay Tepe",0.386,0.143,0.335,0,0.278,0.308,0.079,0,0,0,0,0.308,0.961,0.189,0,0.581,0.906,0.727,0.049,0,0,0.005,0,0,0.129,0.033
"Gurcutepe I",0.642,0.53,0.367,0.039,0.397,0.875,0.787,0.005,0.036,0.227,0.04,0.56,0.087,0.105,0.227,0.22,0.138,0.146,0.677,0,0.036,0.271,0.019,0.129,0,0.458
"Tell Labweh",0.006,0.088,0.438,0.356,0.032,0.039,0.304,0.093,0.405,0.406,0.63,0.035,0.059,0.016,0,0.012,0.021,0.005,0.029,0,0.092,0.937,0.091,0.033,0.458,0
