ID,Site,Period,Country,Region,Latitude,Longitude,Obsidian analyzed,Agicol East AC,Gollu Dag East,Nenezi Dag,Bingol A,Bingol B,Nemrut Dag,Bingol A / Nemrut Dag,Meydan Dag,3d high in rubidium,Unknown,GN,Walktrap,Cfinder,PPA_GN,PPA_Walktrap,PPA_Cfinder
1,el-Khiam,4,Palestine,Southern Levant,31.633333,35.266667,1,,1,,,,,,,,,1,2,,,,
2,Tamerkhan,4,Iraq,Mesopotamian plain,33.733333,47.533333,1,,,,,,1,,,,,2,1,,,,
3,Tell es-Sinn,4,Syria,Jezireh,35.8,40.3,2,,,,,1,1,,,,,2,1,,,,
4,Shimshara,4,Iraq,Northern Zagros,36.2,44.95,2,,,,,2,,,,,,2,1,,,,
5,Ras Shamra,4,Syria,Northern Levant,35.6,35.633333,3,,2,,,,,,,1,,1,2,,,,
6,Tell Sabi Abyad I,4,Syria,Jezireh,36.516667,39.1,3,,,,2,1,,,,,,2,1,,,,
7,Ain Miri,4,Israel,Southern Levant,33.066667,35.45,3,,3,,,,,,,,,1,2,,,,
8,Wadi Tumbaq,4,Syria,Northern Levant,35.027,37.429,3,,3,,,,,,,,,1,2,,,,
9,Guran,4,Iran,Southern Zagros,33.9333333333,47.1833333333,4,,,,,2,,2,,,,2,1,,,,
10,Assouad,4,Syria,Middle Euphrate,36.566667,39.016667,5,,,,,3,2,,,,,2,1,,,,
11,Tell Ramad,4,Syria,Central Levant,33.4,36.1,5,,3,,,,,2,,,,1,3,,,,
12,Ali Kosh,4,Iran,Southern Zagros,32.55,47.4,5,,,,,3,,2,,,,2,1,,,,
13,Tell Labweh,4,Lebanon,Northern Levant,34.183333,36.316667,6,,3,1,,2,,,,,,1,3,,,,
14,Jarmo,4,Iraq,Northern Zagros,35.533333,44.933333,10,,,,,4,,6,,,,2,1,,,,
15,Akarcay Tepe,4,Turkey,Northern Levant,36.919178,38.025658,13,,,,,11,,2,,,,2,1,,,,
16,Halula,4,Syria,Middle Euphrate,36.4167,38.1667,14,3,1,,1,7,2,,,,,2,1,,,,
17,Bouqras,4,Syria,Jezireh,35.066667,40.383333,15,,,,,7,6,2,,,,2,1,,,,
18,Ghoraife,4,Syria,Central Levant,33.516667,36.533333,18,,4,,,7,7,,,,,3,1,,,,
19,Tell Sabi Abyad II,4,Syria,Jezireh,36.516667,39.1,21,,,,,,,21,,,,2,1,,,,
20,Beisamoun,4,Israel,Southern Levant,33.166667,35.55,31,,27,1,,,1,,1,,1,1,2,,,,
21,Gurcutepe I,4,Turkey,Middle Euphrates,37.119772,38.845938,34,,6,1,7,12,8,,,,,4,1,,,,
22,Magzalia,4,Iraq,Jezireh,36.4,42.316667,38,,,,5,11,20,,,,2,2,1,,,,
23,Abu Hureyra,4,Syria,Middle Euphrate,35.8666666667,38.3833333333,48,,8,,,16,,24,,,,4,1,,,,
24,Shillourokambos,4,Cyprus,Cyprus,34.721,33.014,64,,61,3,,,,,,,,1,2,,,,
25,Choga Sefid,4,Iran,Southern Zagros,32.616667,47.25,109,,,,,7,,,,,,2,1,,,,
26,Tell el-Kerkh 2,4,Syria,Northern Levant,35.816667,36.45,113,,93,8,,9,,3,,,,1,2,,,,
