,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
1,0,1172077,657332,1028116,442872,648267,160487,427947,1143541,648764,211648,1148203,300342,995407,640727,595837,610122,240977,172755,693503,839029,552451,402701,1134412,478388
2,1172077,0,700114,361817,1108433,827608,1124767,938992,39282,836496,1060619,132313,1036359,311205,932937,903629,673132,1019431,1114186,873069,560255,869069,1339710,127079,1038995
3,657332,700114,0,421095,422417,134151,539209,274302,661964,143453,468417,747007,405354,420042,238928,203766,81983,428383,525156,196291,193290,173134,672904,731123,347552
4,1028116,361817,421095,0,842439,525545,936908,692860,324128,533221,866519,464457,816524,74228,624158,608855,431955,824439,923831,554519,237290,592189,1093978,451333,766366
5,442872,1108433,422417,842439,0,328215,282512,175138,1071719,322817,248616,1135984,169595,841850,260136,245567,435391,246152,270986,333984,608320,250256,257671,1120205,77660
6,648267,827608,134151,525545,328215,0,508669,224217,788984,9302,441852,879456,362362,536373,105820,84290,198697,407738,494148,70852,288277,96855,585756,863600,250565
7,160487,1124767,539209,936908,282512,508669,0,284486,1092840,507900,70992,1118948,148004,913846,488916,448087,506398,112564,14521,546936,729304,411814,290812,1104181,319592
8,427947,938992,274302,692860,175138,224217,284486,0,902953,223433,218559,962310,138589,684108,217385,168454,269271,187231,269966,265560,467398,127384,404615,946580,124957
9,1143541,39282,661964,324128,1071719,788984,1092840,902953,0,797847,1028069,155307,1002087,272185,894227,865347,636331,986685,1082056,834057,520981,831416,1304468,146702,1001843
10,648764,836496,143453,533221,322817,9302,507900,223433,797847,0,441566,888643,361145,544697,96719,77877,207603,408009,493381,63422,295931,96475,580462,872789,245228
11,211648,1060619,468417,866519,248616,441852,70992,218559,1028069,441566,0,1058977,89474,844417,429138,385159,435633,42288,57396,483431,658320,345138,320322,1044011,270926
12,1148203,132313,747007,464457,1135984,879456,1118948,962310,155307,888643,1058977,0,1045782,402533,985196,949707,706669,1019348,1109624,931937,633286,907990,1353807,15907,1071171
13,300342,1036359,405354,816524,169595,362362,148004,138589,1002087,361145,89474,1045782,0,801027,341610,300086,385247,76869,133613,398953,598260,265707,309001,1030412,182228
14,995407,311205,420042,74228,841850,536373,913846,684108,272185,544697,844417,402533,801027,0,639041,617336,416589,802133,901295,573671,254720,593174,1088295,388617,767548
15,640727,932937,238928,624158,260136,105820,488916,217385,894227,96719,429138,985196,341610,639041,0,57336,295985,402330,474719,76250,387487,121469,514210,969335,187107
16,595837,903629,203766,608855,245567,84290,448087,168454,865347,77877,385159,949707,300086,617336,57336,0,250382,355541,433679,98965,371775,64252,503222,933807,168203
17,610122,673132,81983,431955,435391,198697,506398,269271,636331,207603,435633,706669,385247,416589,295985,250382,0,393846,493028,267123,229230,202011,673808,690778,366335
18,240977,1019431,428383,824439,246152,407738,112564,187231,986685,408009,42288,1019348,76869,802133,402330,355541,393846,0,99401,452729,617414,311604,350925,1004307,256148
19,172755,1114186,525156,923831,270986,494148,14521,269966,1082056,493381,57396,1109624,133613,901295,474719,433679,493028,99401,0,532510,715475,397293,291163,1094798,306331
20,693503,873069,196291,554519,333984,70852,546936,265560,834057,63422,483431,931937,398953,573671,76250,98965,267123,452729,532510,0,319713,145508,589519,916172,258921
21,839029,560255,193290,237290,608320,288277,729304,467398,520981,295931,658320,633286,598260,254720,387487,371775,229230,617414,715475,319713,0,358556,862541,618022,531517
22,552451,869069,173134,592189,250256,96855,411814,127384,831416,96475,345138,907990,265707,593174,121469,64252,202011,311604,397293,145508,358556,0,504169,892088,174550
23,402701,1339710,672904,1093978,257671,585756,290812,404615,1304468,580462,320322,1353807,309001,1088295,514210,503222,673808,350925,291163,589519,862541,504169,0,1338353,335236
24,1134412,127079,731123,451333,1120205,863600,1104181,946580,146702,872789,1044011,15907,1030412,388617,969335,933807,690778,1004307,1094798,916172,618022,892088,1338353,0,1055325
25,478388,1038995,347552,766366,77660,250565,319592,124957,1001843,245228,270926,1071171,182228,767548,187107,168203,366335,256148,306331,258921,531517,174550,335236,1055325,0
