Site,AgicolEastAC,GolluDagEast,NeneziDag,BingolB,Aragats,1e-f,3d,BingolA-NemrutDag
Tell al-Judaidah,0,1,0,0,0,0,0,0
Kritou-Marottou,0,1,0,0,0,0,0,0
Avla Dag,0,1,0,0,0,1,0,0
Shimshara,0,0,0,0,0,0,0,2
Akarcay Tepe,0,2,0,0,0,0,0,0
Ilicapinar,0,3,0,0,0,0,0,0
Klepini-Troulli,0,3,0,0,0,0,0,0
Kumluk,0,2,0,0,0,2,0,0
Kul Tepe,0,0,0,0,0,0,0,4
Guran,0,0,0,2,0,0,0,2
Ali Kosh,0,0,0,2,0,0,0,2
Horvat Usa,0,1,0,2,1,0,0,0
Mersin,0,5,0,0,0,0,0,0
Sarab,0,0,0,2,0,0,0,4
Khirokitia,0,6,0,0,0,0,0,0
Kalavasos Tenta,0,6,0,0,0,0,0,0
Sotto,0,0,0,2,0,0,0,5
Nahal Zehora II,0,1,0,1,0,0,0,3
Umm et-Tlel,0,0,0,8,0,0,0,0
Jarmo,0,0,0,4,0,0,0,5
Halula,0,3,1,1,0,0,0,3
Ashkelon,0,7,4,0,0,0,0,0
Cap Andreas,0,13,0,0,0,0,0,0
El Kowm 2,1,1,0,4,0,0,0,7
Tell Labweh,0,13,1,3,0,0,0,0
Yumuktepe,1,15,26,0,0,0,0,0
Damishliyya I,0,0,0,44,0,0,0,19
Shillourokambos,0,61,3,0,0,0,0,0
Abu Hureyra,0,43,0,99,0,0,5,37
Tell el-Kerkh 2,1,229,17,1,0,0,0,2
Qdeir,0,143,4,248,0,0,0,122
Choga Sefid,0,0,0,508,0,0,0,0
