,Tell al-Judaidah,Kritou-Marottou,Avla Dag,Shimshara,Akarcay Tepe,Ilicapinar,Klepini-Troulli,Kumluk,Kul Tepe,Guran,Ali Kosh,Horvat Usa,Mersin,Sarab,Khirokitia,Kalavasos Tenta,Sotto,Nahal Zehora II,Umm et-Tlel,Jarmo,Halula,Ashkelon,Cap Andreas,El Kowm 2,Tell Labweh,Yumuktepe,Damishliyya I,Shillourokambos,Abu Hureyra,Tell el-Kerkh 2,Qdeir,Choga Sefid
Tell al-Judaidah,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Kritou-Marottou,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Avla Dag,100,100,200,0,100,100,100,200,0,0,0,50,100,0,100,100,0,40,0,0,75,100,100,15,100,71,0,100,47,100,55,0
Shimshara,0,0,0,200,0,0,0,0,200,100,100,0,0,133,0,0,143,120,0,111,75,0,0,108,0,0,60,0,40,2,47,0
Akarcay Tepe,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Ilicapinar,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Klepini-Troulli,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Kumluk,100,100,200,0,100,100,100,200,0,0,0,50,100,0,100,100,0,40,0,0,75,100,100,15,100,71,0,100,47,100,55,0
Kul Tepe,0,0,0,200,0,0,0,0,200,100,100,0,0,133,0,0,143,120,0,111,75,0,0,108,0,0,60,0,40,2,47,0
Guran,0,0,0,100,0,0,0,0,100,200,200,100,0,167,0,0,157,140,100,189,100,0,0,162,35,0,160,0,140,2,143,100
Ali Kosh,0,0,0,100,0,0,0,0,100,200,200,100,0,167,0,0,157,140,100,189,100,0,0,162,35,0,160,0,140,2,143,100
Horvat Usa,50,50,50,0,50,50,50,50,0,100,100,200,50,67,50,50,57,80,100,89,75,50,50,77,85,50,100,50,147,51,146,100
Mersin,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Sarab,0,0,0,133,0,0,0,0,133,167,167,67,0,200,0,0,190,160,67,178,100,0,0,169,35,0,127,0,107,2,114,67
Khirokitia,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Kalavasos Tenta,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
Sotto,0,0,0,143,0,0,0,0,143,157,157,57,0,190,0,0,200,160,57,168,100,0,0,165,35,0,117,0,97,2,104,57
Nahal Zehora II,40,40,40,120,40,40,40,40,120,140,140,80,40,160,40,40,160,200,40,151,140,40,40,163,75,40,100,40,120,42,127,40
Umm et-Tlel,0,0,0,0,0,0,0,0,0,100,100,100,0,67,0,0,57,40,200,89,25,0,0,62,35,0,140,0,108,1,96,200
Jarmo,0,0,0,111,0,0,0,0,111,189,189,89,0,178,0,0,168,151,89,200,100,0,0,169,35,0,149,0,129,2,136,89
Halula,75,75,75,75,75,75,75,75,75,100,100,75,75,100,75,75,100,140,25,100,200,100,75,115,112,96,85,84,112,91,129,25
Ashkelon,127,127,100,0,127,127,127,100,0,0,0,50,127,0,127,127,0,40,0,0,100,200,127,15,139,144,0,137,47,141,57,0
Cap Andreas,200,200,100,0,200,200,200,100,0,0,0,50,200,0,200,200,0,40,0,0,75,127,200,15,153,71,0,191,47,183,55,0
El Kowm 2,15,15,15,108,15,15,15,15,108,162,162,77,15,169,15,15,165,163,62,169,115,15,15,200,51,20,122,15,117,19,124,62
Tell Labweh,153,153,100,0,153,153,153,100,0,35,35,85,153,35,153,153,35,75,35,35,112,139,153,51,200,83,35,162,82,166,92,35
Yumuktepe,71,71,71,0,71,71,71,71,0,0,0,50,71,0,71,71,0,40,0,0,96,144,71,20,83,200,0,81,47,86,57,0
Damishliyya I,0,0,0,60,0,0,0,0,60,160,160,100,0,127,0,0,117,100,140,149,85,0,0,122,35,0,200,0,148,2,143,140
Shillourokambos,191,191,100,0,191,191,191,100,0,0,0,50,191,0,191,191,0,40,0,0,84,137,191,15,162,81,0,200,47,193,57,0
Abu Hureyra,47,47,47,40,47,47,47,47,40,140,140,147,47,107,47,47,97,120,108,129,112,47,47,117,82,47,148,47,200,49,183,108
Tell el-Kerkh 2,183,183,100,2,183,183,183,100,2,2,2,51,183,2,183,183,2,42,1,2,91,141,183,19,166,86,2,193,49,200,59,1
Qdeir,55,55,55,47,55,55,55,55,47,143,143,146,55,114,55,55,104,127,96,136,129,57,55,124,92,57,143,57,183,59,200,96
Choga Sefid,0,0,0,0,0,0,0,0,0,100,100,100,0,67,0,0,57,40,200,89,25,0,0,62,35,0,140,0,108,1,96,200
