"Tell al-Judaidah","Kritou-Marottou","Avla Dag","Shimshara","Akarcay Tepe","Ilicapinar","Klepini-Troulli","Kumluk","Kul Tepe","Guran","Ali Kosh","Horvat Usa","Mersin","Sarab","Khirokitia","Kalavasos Tenta","Sotto","Nahal Zehora II","Umm et-Tlel","Jarmo","Halula","Ashkelon","Cap Andreas","El Kowm 2","Tell Labweh","Yumuktepe","Damishliyya I","Shillourokambos","Abu Hureyra","Tell el-Kerkh 2","Qdeir","Choga Sefid"
"Tell al-Judaidah",0,0,0,0,0.592,0.813,0.82,0.457,0,0,0,0,0.967,0,0.974,0.977,0,0,0,0,0.475,0.96,1,0,1,0.685,0,1,0.253,1,0.597,0
"Kritou-Marottou",0,0,0,0,0.592,0.813,0.82,0.457,0,0,0,0,0.967,0,0.974,0.977,0,0,0,0,0.475,0.96,1,0,1,0.685,0,1,0.253,1,0.597,0
"Avla Dag",0,0,0,0,0,0.206,0.206,0.852,0,0,0,0,0.358,0,0.302,0.291,0,0,0,0,0.226,0.493,0.531,0,0.612,0.492,0,0.932,0.104,1,0.254,0
"Shimshara",0,0,0,0,0,0,0,0,0.842,0.165,0.186,0,0,0.431,0,0,0.628,0.367,0,0.459,0.231,0,0,0.544,0,0,0.266,0,0.096,0.112,0.222,0
"Akarcay Tepe",0.592,0.592,0,0,0,0.924,0.93,0.187,0,0,0,0,0.983,0,0.937,0.923,0,0,0,0,0.236,0.6,1,0,0.768,0.541,0,1,0.097,1,0.238,0
"Ilicapinar",0.813,0.813,0.206,0,0.924,0,0.744,0.117,0,0,0,0,0.996,0,0.95,0.937,0,0,0,0,0.128,0.517,1,0,0.777,0.383,0,0.998,0.041,1,0.128,0
"Klepini-Troulli",0.82,0.82,0.206,0,0.93,0.744,0,0.13,0,0,0,0,0.997,0,0.944,0.916,0,0,0,0,0.117,0.523,1,0,0.773,0.366,0,0.999,0.053,1,0.109,0
"Kumluk",0.457,0.457,0.852,0,0.187,0.117,0.13,0,0,0,0,0,0.245,0,0.199,0.216,0,0,0,0,0.078,0.274,0.314,0,0.377,0.363,0,0.641,0.029,0.767,0.187,0
"Kul Tepe",0,0,0,0.842,0,0,0,0,0,0.093,0.072,0,0,0.424,0,0,0.591,0.318,0,0.303,0.082,0,0,0.326,0,0,0.263,0,0.019,0.027,0.058,0
"Guran",0,0,0,0.165,0,0,0,0,0.093,0,0.848,0.075,0,0.823,0,0,0.69,0.545,0.174,0.968,0.199,0,0,0.816,0.015,0,0.96,0,0.946,0.026,0.978,0.84
"Ali Kosh",0,0,0,0.186,0,0,0,0,0.072,0.848,0,0.084,0,0.819,0,0,0.697,0.52,0.175,0.962,0.185,0,0,0.783,0.018,0,0.959,0,0.945,0.02,0.975,0.819
"Horvat Usa",0,0,0,0,0,0,0,0,0,0.075,0.084,0,0.032,0.065,0.031,0.019,0.027,0.052,0.172,0.174,0.072,0.033,0.051,0.166,0.294,0.062,0.619,0.042,0.936,0.032,0.975,0.839
"Mersin",0.967,0.967,0.358,0,0.983,0.996,0.997,0.245,0,0,0,0.032,0,0,0.999,1,0,0,0,0,0.091,0.422,1,0,0.722,0.278,0,0.999,0.088,1,0.2,0
"Sarab",0,0,0,0.431,0,0,0,0,0.424,0.823,0.819,0.065,0,0,0,0,0.973,0.762,0.066,0.874,0.265,0,0,0.84,0.009,0,0.746,0,0.778,0.002,0.914,0.379
"Khirokitia",0.974,0.974,0.302,0,0.937,0.95,0.944,0.199,0,0,0,0.031,0.999,0,0,0.923,0,0.01,0,0,0.091,0.468,1,0,0.73,0.22,0,0.999,0.107,1,0.153,0
"Kalavasos Tenta",0.977,0.977,0.291,0,0.923,0.937,0.916,0.216,0,0,0,0.019,1,0,0.923,0,0,0.013,0,0,0.076,0.476,1,0,0.72,0.255,0,0.994,0.122,1,0.13,0
"Sotto",0,0,0,0.628,0,0,0,0,0.591,0.69,0.697,0.027,0,0.973,0,0,0,0.75,0.043,0.796,0.195,0,0,0.805,0.003,0,0.693,0,0.722,0.004,0.879,0.109
"Nahal Zehora II",0,0,0,0.367,0,0,0,0,0.318,0.545,0.52,0.052,0,0.762,0.01,0.013,0.75,0,0.007,0.67,0.554,0.024,0.011,0.815,0.165,0.009,0.643,0.011,0.855,0.033,0.951,0.026
"Umm et-Tlel",0,0,0,0,0,0,0,0,0,0.174,0.175,0.172,0,0.066,0,0,0.043,0.007,0,0.118,0,0,0,0.038,0.005,0,0.791,0,0.743,0,0.784,1
"Jarmo",0,0,0,0.459,0,0,0,0,0.303,0.968,0.962,0.174,0,0.874,0,0,0.796,0.67,0.118,0,0.271,0,0,0.831,0.011,0,0.819,0,0.815,0.001,0.926,0.707
"Halula",0.475,0.475,0.226,0.231,0.236,0.128,0.117,0.078,0.082,0.199,0.185,0.072,0.091,0.265,0.091,0.076,0.195,0.554,0,0.271,0,0.298,0.094,0.36,0.419,0.46,0.434,0.421,0.775,0.66,0.914,0.006
"Ashkelon",0.96,0.96,0.493,0,0.6,0.517,0.523,0.274,0,0,0,0.033,0.422,0,0.468,0.476,0,0.024,0,0,0.298,0,0.468,0,0.568,0.728,0,0.727,0.086,0.848,0.153,0
"Cap Andreas",1,1,0.531,0,1,1,1,0.314,0,0,0,0.051,1,0,1,1,0,0.011,0,0,0.094,0.468,0,0,0.647,0.186,0,0.992,0.056,0.996,0.158,0
"El Kowm 2",0,0,0,0.544,0,0,0,0,0.326,0.816,0.783,0.166,0,0.84,0,0,0.805,0.815,0.038,0.831,0.36,0,0,0,0.02,0.001,0.634,0,0.734,0,0.855,0.205
"Tell Labweh",1,1,0.612,0,0.768,0.777,0.773,0.377,0,0.015,0.018,0.294,0.722,0.009,0.73,0.72,0.003,0.165,0.005,0.011,0.419,0.568,0.647,0.02,0,0.24,0.008,0.79,0.404,0.892,0.709,0.085
"Yumuktepe",0.685,0.685,0.492,0,0.541,0.383,0.366,0.363,0,0,0,0.062,0.278,0,0.22,0.255,0,0.009,0,0,0.46,0.728,0.186,0.001,0.24,0,0,0.205,0.178,0.405,0.394,0
"Damishliyya I",0,0,0,0.266,0,0,0,0,0.263,0.96,0.959,0.619,0,0.746,0,0,0.693,0.643,0.791,0.819,0.434,0,0,0.634,0.008,0,0,0,0.403,0,0.64,0.635
"Shillourokambos",1,1,0.932,0,1,0.998,0.999,0.641,0,0,0,0.042,0.999,0,0.999,0.994,0,0.011,0,0,0.421,0.727,0.992,0,0.79,0.205,0,0,0.222,0.982,0.499,0
"Abu Hureyra",0.253,0.253,0.104,0.096,0.097,0.041,0.053,0.029,0.019,0.946,0.945,0.936,0.088,0.778,0.107,0.122,0.722,0.855,0.743,0.815,0.775,0.086,0.056,0.734,0.404,0.178,0.403,0.222,0,0.407,0.886,0.533
"Tell el-Kerkh 2",1,1,1,0.112,1,1,1,0.767,0.027,0.026,0.02,0.032,1,0.002,1,1,0.004,0.033,0,0.001,0.66,0.848,0.996,0,0.892,0.405,0,0.982,0.407,0,0.528,0
"Qdeir",0.597,0.597,0.254,0.222,0.238,0.128,0.109,0.187,0.058,0.978,0.975,0.975,0.2,0.914,0.153,0.13,0.879,0.951,0.784,0.926,0.914,0.153,0.158,0.855,0.709,0.394,0.64,0.499,0.886,0.528,0,0.502
"Choga Sefid",0,0,0,0,0,0,0,0,0,0.84,0.819,0.839,0,0.379,0,0,0.109,0.026,1,0.707,0.006,0,0,0.205,0.085,0,0.635,0,0.533,0,0.502,0
