,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,0,394691,295397,749569,146669,413035,304647,287328,489736,997674,1073904,412829,192461,974902,337312,343005,512810,454090,387582,755627,141470,545884,192609,237696,233342,192461,219814,367711,166530,51881,232628,1058009
2,394691,0,457019,1129881,540014,406546,90342,468602,869566,1345800,1397383,383275,278777,1330106,72913,70375,896400,359231,725560,1126171,533156,407279,202359,575088,353968,278777,610859,47188,538377,366487,573755,1381880
3,295397,457019,0,923784,328195,174074,387228,20391,685301,1213291,1310934,663016,195637,1182683,443104,448838,696550,685376,646965,949810,372568,768895,321547,514219,503437,195637,427766,461114,428742,334356,507688,1295126
4,749569,1129881,923784,0,624158,1094179,1043659,904500,260715,324128,464457,940078,931161,281464,1062687,1067398,237021,1007682,429360,74228,608855,1084157,935521,561414,816524,931161,531505,1093978,592189,766366,561220,451333
5,146669,540014,328195,624158,0,484240,449716,312450,370440,894227,985196,523110,308148,866837,483917,489631,388139,573684,321318,639041,57336,666241,337661,207526,341610,308148,100462,514210,121469,187107,200062,969335
6,413035,406546,174074,1094179,484240,0,366722,194368,850565,1377410,1468981,704300,240671,1348510,421413,425872,864016,710197,792286,1117340,520405,782042,351938,648621,574392,240671,584629,428158,568842,436928,642943,1453101
7,304647,90342,387228,1043659,449716,366722,0,396511,783041,1266732,1323593,359641,198515,1249519,56665,62066,809183,351763,645465,1042004,443798,417028,112116,493052,290510,198515,521749,75270,451517,278207,491200,1307963
8,287328,468602,20391,904500,312450,194368,396511,0,667094,1195108,1293728,663110,201847,1164211,451921,457737,677912,687398,632288,931078,358247,771998,326032,501686,500517,201847,411502,470937,415576,328322,495036,1277936
9,489736,869566,685301,260715,370440,850565,783041,667094,0,528013,632998,703882,674129,497957,802930,807736,35324,770110,199723,268642,349904,852444,674814,306713,565022,674129,273887,834257,331529,505652,305548,617489
10,997674,1345800,1213291,324128,894227,1377410,1266732,1195108,528013,0,155307,1081343,1188660,49110,1274251,1278036,519114,1148027,621325,272185,865347,1207890,1167249,774793,1002087,1188660,794627,1304468,831416,1001843,777354,146702
11,1073904,1397383,1310934,464457,985196,1468981,1323593,1293728,632998,155307,0,1100540,1266364,204357,1324720,1327935,630853,1164828,687349,402533,949707,1214899,1230745,841104,1045782,1266364,884741,1353807,907990,1071171,844861,15907
