Site,AgicolEastAC,GolluDagEast,Nenezi Dag,BingolB,MeydanDag,Sjunik,KojunDag,Demenegaki,1e-f,3d,BingolA-NemrutDag
Hassuna,0,0,0,0,0,0,0,0,0,0,1
Tell Aray 1,0,1,0,0,0,0,0,0,0,0,0
Nineveh,0,0,0,1,1,0,0,0,0,0,0
Shimshara,0,0,0,2,0,0,0,0,0,0,0
El Kowm 2,0,1,0,1,0,0,0,0,0,0,1
Matarrah,0,0,0,0,0,0,0,0,0,0,3
Hajji Firuz Tepe,0,0,0,0,0,3,0,0,0,0,0
Byblos,0,1,0,0,0,0,0,0,1,0,0
Hacilar,0,0,4,0,0,0,0,1,0,0,0
Cukurkent,0,0,5,0,0,0,0,0,0,0,0
Mersin,0,3,0,0,0,0,0,0,1,0,0
Tell es-Sawwan I,0,0,0,0,2,0,0,0,0,0,4
Halula,2,1,0,2,0,0,0,0,0,0,2
Yarim I,0,0,0,1,0,0,0,0,0,0,16
Choga Sefid,0,0,0,17,0,0,0,0,0,0,0
Tell Aray 2,0,10,4,0,0,0,0,0,0,0,2
Choga Mami,0,0,0,9,1,0,0,0,0,0,14
Salat Cami Yani,0,0,0,15,0,0,1,0,0,1,57
Tell Labweh,2,105,2,21,0,0,0,0,0,0,11
