,Hassuna,Tell Aray 1,Nineveh,Shimshara,El Kowm 2,Matarrah,Hajji Firuz Tepe,Byblos,Hacilar,Cukurkent,Mersin,Tell es-Sawwan I,Halula,Yarim I,Choga Sefid,Tell Aray 2,Choga Mami,Salat Cami Yani,Tell Labweh
Hassuna,200,0,0,0,67,200,0,0,0,0,0,133,57,188,0,25,117,154,16
Tell Aray 1,0,200,0,0,67,0,0,100,0,0,150,0,29,0,0,125,0,0,149
Nineveh,0,0,200,100,67,0,0,0,0,0,0,67,57,12,100,0,83,41,30
Shimshara,0,0,100,200,67,0,0,0,0,0,0,0,57,12,200,0,75,41,30
El Kowm 2,67,67,67,67,200,67,0,67,0,0,67,67,143,78,67,92,133,107,112
Matarrah,200,0,0,0,67,200,0,0,0,0,0,133,57,188,0,25,117,154,16
Hajji Firuz Tepe,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
Byblos,0,100,0,0,67,0,0,200,0,0,150,0,29,0,0,100,0,0,100
Hacilar,0,0,0,0,0,0,0,0,200,160,0,0,0,0,0,50,0,0,3
Cukurkent,0,0,0,0,0,0,0,0,160,200,0,0,0,0,0,50,0,0,3
Mersin,0,150,0,0,67,0,0,150,0,0,200,0,29,0,0,125,0,0,149
Tell es-Sawwan I,133,0,67,0,67,133,0,0,0,0,0,200,57,133,0,25,125,133,16
Halula,57,29,57,57,143,57,0,29,0,0,29,57,200,69,57,54,114,98,77
Yarim I,188,0,12,12,78,188,0,0,0,0,0,133,69,200,12,25,128,166,27
Choga Sefid,0,0,100,200,67,0,0,0,0,0,0,0,57,12,200,0,75,41,30
Tell Aray 2,25,125,0,0,92,25,0,100,50,50,125,25,54,25,0,200,25,25,143
Choga Mami,117,0,83,75,133,117,0,0,0,0,0,125,114,128,75,25,200,157,45
Salat Cami Yani,154,0,41,41,107,154,0,0,0,0,0,133,98,166,41,25,157,200,45
Tell Labweh,16,149,30,30,112,16,0,100,3,3,149,16,77,27,30,143,45,45,200
