"Hassuna","Tell Aray 1","Nineveh","Shimshara","El Kowm 2","Matarrah","Hajji Firuz Tepe","Byblos","Hacilar","Cukurkent","Mersin","Tell es-Sawwan I","Halula","Yarim I","Choga Sefid","Tell Aray 2","Choga Mami","Salat Cami Yani","Tell Labweh"
"Hassuna",0,0,0,0,0,0.907,0,0,0,0,0,0.872,0.227,1,0,0.173,0.982,1,0.817
"Tell Aray 1",0,0,0,0,0,0,0,0,0,0,0.834,0,0,0,0,0.965,0,0,1
"Nineveh",0,0,0,0,0,0,0,0,0,0,0,0.157,0.062,0.041,0.595,0,0.401,0.163,0.208
"Shimshara",0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,1,0,0.297,0.165,0.219
"El Kowm 2",0,0,0,0,0,0,0,0,0,0,0.048,0.041,0.668,0.202,0.122,0.41,0.897,0.882,0.963
"Matarrah",0.907,0,0,0,0,0,0,0,0,0,0,0.451,0.019,0.995,0,0.016,0.721,1,0.071
"Hajji Firuz Tepe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byblos",0,0,0,0,0,0,0,0,0,0,0.458,0,0.068,0,0,0.534,0,0,0.996
"Hacilar",0,0,0,0,0,0,0,0,0,0.574,0,0,0,0,0,0.006,0,0,0.002
"Cukurkent",0,0,0,0,0,0,0,0,0.574,0,0,0,0,0,0,0.01,0,0,0.005
"Mersin",0,0.834,0,0,0.048,0,0,0.458,0,0,0,0,0.007,0,0,0.646,0,0,0.999
"Tell es-Sawwan I",0.872,0,0.157,0,0.041,0.451,0,0,0,0,0,0,0.009,0.719,0,0.001,0.748,0.974,0.003
"Halula",0.227,0,0.062,0.054,0.668,0.019,0,0.068,0,0,0.007,0.009,0,0.085,0.028,0.019,0.563,0.675,0.567
"Yarim I",1,0,0.041,0,0.202,0.995,0,0,0,0,0,0.719,0.085,0,0,0,0.697,0.983,0.018
"Choga Sefid",0,0,0.595,1,0.122,0,0,0,0,0,0,0,0.028,0,0,0,0.147,0.055,0.013
"Tell Aray 2",0.173,0.965,0,0,0.41,0.016,0,0.534,0.006,0.01,0.646,0.001,0.019,0,0,0,0,0.005,0.995
"Choga Mami",0.982,0,0.401,0.297,0.897,0.721,0,0,0,0,0,0.748,0.563,0.697,0.147,0,0,0.952,0.262
"Salat Cami Yani",1,0,0.163,0.165,0.882,1,0,0,0,0,0,0.974,0.675,0.983,0.055,0.005,0.952,0,0.328
"Tell Labweh",0.817,1,0.208,0.219,0.963,0.071,0,0.996,0.002,0.005,0.999,0.003,0.567,0.018,0.013,0.995,0.262,0.328,0
