ID,Site,Period,Country,Region,Latitude,Longitude,Obsidian analyzed,Agicol East AC,Gollu Dag East,Nenezi Dag,Bingol A,Bingol B,Nemrut Dag,Bingol A / Nemrut Dag,Meydan Dag,Sjunik,Kojun Dag,Demenegaki,1e-f,3d,Unknown,GN,Walktrap,Cfinder,PPA_GN,PPA_Walktrap,PPA_Cfinder
1,Hassuna,6,Iraq,Jezireh,36.033333,43.216667,1,,,,,,1,,,,,,,,,1,2,,1,1,
2,Tell Aray 1,6,Syria,Northern Levant,35.9,36.5,1,,1,,,,,,,,,,,,,1,2,,2,5,
3,Nineveh,6,Iraq,Jezireh,36.35,43.166667,2,,,,,1,,,1,,,,,,,1,2,,3,1,
4,Shimshara,6,Iraq,Northern Zagros,36.2,44.95,2,,,,,2,,,,,,,,,,2,1,,4,2,
5,El Kowm 2,6,Syria,Northern Levant,35.183333,38.866667,3,,1,,1,1,,,,,,,,,,1,2,,1,3,
6,Matarrah,6,Iraq,Jezireh,35.2,43.366667,3,,,,,,,3,,,,,,,,1,2,,3,1,
7,Hajji Firuz Tepe,6,Iran,Northern Zagros,36.9833333333,45.4833333333,3,,,,,,,,,3,,,,,,1,2,,2,5,
8,Byblos,6,Lebanon,Northern Levant,34.116667,35.65,3,,1,,,,,,,,,,1,,,1,2,,3,1,
9,Hacilar,6,Turkey,Central Anatolia,37.716667,30.066667,5,,,4,,,,,,,,1,,,,2,1,,4,2,
10,Cukurkent,6,Turkey,Central Anatolia,37.883333,31.533333,5,,,5,,,,,,,,,,,,2,1,,5,6,
11,Mersin,6,Turkey,Central Anatolia,36.833333,34.566667,5,,3,,,,,,,,,,1,,,2,1,,5,6,
12,Tell es-Sawwan I,6,Iraq,Jezireh,36.35,39.066667,6,,,,,,4,,2,,,,,,,3,1,,6,4,
13,Halula,6,Syria,Middle Euphrate,36.4167,38.1667,7,2,1,,2,2,,,,,,,,,,1,2,,3,1,
14,Yarim I,6,Iraq,Jezireh,36.35,42.35,17,,,,,1,16,,,,,,,,,2,1,,5,6,
15,Choga Sefid,6,Iran,Southern Zagros,32.616667,47.25,17,,,,,17,,,,,,,,,,1,2,,2,5,
16,Tell Aray 2,6,Syria,Northern Levant,35.583333,36.516667,18,,10,4,,,,2,,,,,,,2,1,2,,2,5,
17,Choga Mami,6,Iraq,Mesopotamian plain,33.8833333333,45.45,31,,,,,9,14,,1,,,,,,7,2,1,,4,2,
18,Salat Cami Yani,6,Turkey,Jezireh,37.845694,40.885111,74,,,,,15,,57,,,1,,,1,,4,1,,6,4,
19,Tell Labweh,6,Lebanon,Northern Levant,34.183333,36.316667,141,2,105,2,6,21,5,,,,,,,,,2,1,,4,2,
,,,,,,,,,,,,,,,,,,,,,,2,1,,4,2,
,,,,,,,,,,,,,,,,,,,,,,5,1,,1,3,
,,,,,,,,,,,,,,,,,,,,,,1,2,,6,4,
,,,,,,,,,,,,,,,,,,,,,,1,2,,3,1,
,,,,,,,,,,,,,,,,,,,,,,2,1,,4,3,
,,,,,,,,,,,,,,,,,,,,,,1,2,,6,4,
,,,,,,,,,,,,,,,,,,,,,,1,2,,3,1,
,,,,,,,,,,,,,,,,,,,,,,2,1,,1,3,
,,,,,,,,,,,,,,,,,,,,,,1,2,,2,5,
,,,,,,,,,,,,,,,,,,,,,,6,1,,4,3,
,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,
,,,,,,,,,,,,,,,,,,,,,,7,1,,4,3,
,,,,,,,,,,,,,,,,,,,,,,2,1,,5,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
