,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1,0,605216,35536,156970,404866,93754,228717,721383,1184873,1058709,779538,374469,455446,85469,531070,606810,314301,289356,661064
2,605216,0,601411,761011,228728,626645,813148,213109,607841,494141,202053,236151,160460,528308,1053706,35283,847120,446475,191827
3,35536,601411,0,160910,409490,129285,218537,727024,1173038,1045948,770277,367570,448106,73220,559435,605069,344396,262205,667477
4,156970,761011,160910,0,561414,181322,99379,877189,1333187,1205680,931161,528178,608855,233925,451333,763390,261884,405015,816524
5,404866,228728,409490,561414,0,409350,627913,317580,836503,721233,428510,131123,151143,340355,825262,217875,620690,347032,258598
6,93754,626645,129285,181322,409350,0,275054,716612,1222133,1098791,812618,408867,488515,157540,459728,622967,240772,368778,654985
7,228717,813148,218537,99379,627913,275054,0,945485,1365160,1236006,971312,577164,655908,288512,512188,819241,345104,417690,886011
8,721383,213109,727024,877189,317580,716612,945485,0,643188,559570,317958,397847,343304,657789,1090686,181450,904449,628056,61863
9,1184873,607841,1173038,1333187,836503,1222133,1365160,643188,0,130333,410518,813780,733645,1101283,1660532,622907,1450987,951405,686706
10,1058709,494141,1045948,1205680,721233,1098791,1236006,559570,130333,0,292725,689930,610632,974629,1541831,512928,1330198,821527,595702
11,779538,202053,770277,931161,428510,812618,971312,317958,410518,292725,0,405748,324934,697548,1250468,223687,1040469,570335,334901
12,374469,236151,367570,528178,131123,408867,577164,397847,813780,689930,405748,0,80995,294363,857775,245078,642654,231918,347310
13,455446,160460,448106,608855,151143,488515,655908,343304,733645,610632,324934,80995,0,374950,933807,175177,720159,288961,300086
14,85469,528308,73220,233925,340355,157540,288512,657789,1101283,974629,697548,294363,374950,0,612099,532365,393754,211274,598913
15,531070,1053706,559435,451333,825262,459728,512188,1090686,1660532,1541831,1250468,857775,933807,612099,0,1042370,218995,820422,1030412
16,606810,35283,605069,763390,217875,622967,819241,181450,622907,512928,223687,245078,175177,532365,1042370,0,838546,464015,156914
17,314301,847120,344396,261884,620690,240772,345104,904449,1450987,1330198,1040469,642654,720159,393754,218995,838546,0,603280,842946
18,289356,446475,262205,405015,347032,368778,417690,628056,951405,821527,570335,231918,288961,211274,820422,464015,603280,0,579004
19,661064,191827,667477,816524,258598,654985,886011,61863,686706,595702,334901,347310,300086,598913,1030412,156914,842946,579004,0
