,Hassuna,Tell Aray 1,Nineveh,Shimshara,El Kowm 2,Matarrah,Hajji Firuz Tepe,Byblos,Hacilar,Cukurkent,Mersin,Tell es-Sawwan I,Halula,Yarim I,Choga Sefid,Tell Aray 2,Choga Mami,Salat Cami Yani,Tell Labweh
Hassuna,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Tell Aray 1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
Nineveh,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Shimshara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
El Kowm 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Matarrah,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Hajji Firuz Tepe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byblos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hacilar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cukurkent,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Mersin,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Tell es-Sawwan I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Halula,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Yarim I,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Choga Sefid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tell Aray 2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Choga Mami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Salat Cami Yani,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tell Labweh,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
