Site,West Anatolia,Gollu Dag East,Nenezi Dag,Sarikamis,Bingol A,Bingol B,Nemrut Dag,Bingol A-Nemrut Dag,Meydan Dag,Suphan Dag,3d high in rubidium
Kashkashok,0,0,0,0,3,4,1,0,0,0,1
Ilipinar,1,3,0,0,0,0,0,0,0,0,0
Domuztepe,0,23,0,0,0,14,0,7,0,0,0
Kurdu,0,1,0,0,0,0,0,0,0,0,0
Tilki Tepe,0,0,0,0,0,0,0,3,6,0,1
Ayngerm,0,0,0,0,0,0,0,5,0,0,0
Ras Shamra,0,1,0,0,0,0,0,0,0,0,0
Tell Sabi Abyad I,0,0,0,0,2,1,0,0,0,0,0
Halaf,0,0,0,0,0,0,0,0,1,0,1
Chagar Bazar,0,0,0,0,0,0,0,1,1,0,0
Yarim II,0,0,0,0,14,1,15,0,5,3,4
Arpachiyah,0,0,0,0,0,0,0,0,2,0,0
Banahilk,0,0,0,0,0,0,7,0,4,0,0
Choga Mami,0,0,0,0,0,2,4,0,1,0,0
Tamar Tepe,0,0,0,0,0,0,0,0,1,0,0
Choga Sefid,0,0,0,0,0,1,0,0,0,0,0
Sabz,0,0,0,0,0,0,0,0,1,0,0
Byblos,0,0,0,0,0,1,0,0,1,0,0
Hagoshrim,0,5,0,4,0,6,0,7,3,0,0
Givat Ha-Parsa,0,3,0,0,0,0,0,0,0,0,0
Tabbat al Hammam,0,3,0,0,0,0,0,0,0,0,0
Tel Mevorakh,0,0,1,0,0,0,2,0,0,0,0
Tell Aray 1,0,1,0,0,0,8,0,11,0,0,0
Tell Umm Qseir,0,0,0,0,0,2,0,5,0,0,0
