,Kurdu,Ras Shamra,Tamar Tepe,Choga Sefid,Sabz,Halaf,Chagar Bazar,Arpachiyah,Byblos,Tell Sabi Abyad I,Givat Ha-Parsa,Tabbat al-Hammam,Tel Mevorakh,Ayngerm,Choga Mami,Tell Umm Qseir,Kashkashok,Tilki Tepe,Banahilk,Tell Aray 1,Hagoshrim,Yarim II,Domuztepe
Kurdu,200,200,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,10,40,0,92
Ras Shamra,200,200,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,10,40,0,92
Tamar Tepe,0,0,200,0,200,100,100,200,100,0,0,0,0,0,29,0,0,120,73,0,24,24,0
Choga Sefid,0,0,0,200,0,0,0,0,100,67,0,0,0,0,57,57,89,0,0,80,48,5,56
Sabz,0,0,200,0,200,100,100,200,100,0,0,0,0,0,29,0,0,120,73,0,24,24,0
Halaf,0,0,100,0,100,200,100,100,100,0,0,0,0,0,29,0,22,120,73,0,24,43,0
Chagar Bazar,0,0,100,0,100,100,200,100,100,100,0,0,100,100,129,100,89,160,173,100,80,124,28
Arpachiyah,0,0,200,0,200,100,100,200,100,0,0,0,0,0,29,0,0,120,73,0,24,24,0
Byblos,0,0,100,100,100,100,100,100,200,67,0,0,0,0,86,57,89,100,73,80,72,29,56
Tell Sabi Abyad I,0,0,0,67,0,0,100,0,67,200,0,0,133,133,171,190,156,60,127,177,104,138,84
Givat Ha-Parsa,200,200,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,10,40,0,92
Tabbat al-Hammam,200,200,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,10,40,0,92
Tel Mevorakh,0,0,0,0,0,0,100,0,0,133,0,0,200,133,114,133,89,60,127,110,56,133,28
Ayngerm,0,0,0,0,0,0,100,0,0,133,0,0,133,200,114,143,89,60,127,110,56,138,28
Choga Mami,0,0,29,57,29,29,129,29,86,171,0,0,114,114,200,171,146,89,143,167,128,143,84
Tell Umm Qseir,0,0,0,57,0,0,100,0,57,190,0,0,133,143,171,200,146,60,127,167,104,143,84
Kashkashok,0,0,0,89,0,22,89,0,89,156,0,0,89,89,146,146,200,80,89,169,104,113,84
Tilki Tepe,0,0,120,0,120,120,160,120,100,60,0,0,60,60,89,60,80,200,133,60,80,103,28
Banahilk,0,0,73,0,73,73,173,73,73,127,0,0,127,127,143,127,89,133,200,110,80,151,28
Tell Aray 1,10,10,0,80,0,0,100,0,80,177,10,10,110,110,167,167,169,60,110,200,114,115,94
Hagoshrim,40,40,24,48,24,24,80,24,72,104,40,40,56,56,128,104,104,80,80,114,200,85,116
Yarim II,0,0,24,5,24,43,124,24,29,138,0,0,133,138,143,143,113,103,151,115,85,200,33
Domuztepe,92,92,0,56,0,0,28,0,56,84,92,92,28,28,84,84,84,28,28,94,116,33,200
