"Kurdu","Ras Shamra","Tamar Tepe","Choga Sefid","Sabz","Halaf","Chagar Bazar","Arpachiyah","Byblos","Tell Sabi Abyad I","Givat Ha-Parsa","Tabbat al-Hammam","Tel Mevorakh","Ayngerm","Choga Mami","Tell Umm Qseir","Kashkashok","Tilki Tepe","Banahilk","Tell Aray 1","Hagoshrim","Yarim II","Domuztepe"
"Kurdu",0,0,0,0,0,0,0,0,0,0,0.924,0.915,0,0,0,0,0,0,0,0,0.542,0,1
"Ras Shamra",0,0,0,0,0,0,0,0,0,0,0.924,0.915,0,0,0,0,0,0,0,0,0.542,0,1
"Tamar Tepe",0,0,0,0,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0.999,0.902,0,0.144,0.131,0
"Choga Sefid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0.543,0.926,0,0,0.989,0.722,0,0.953
"Sabz",0,0,0,0,0,0,0,0.746,0,0,0,0,0,0,0,0,0,0.999,0.902,0,0.144,0.131,0
"Halaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,0.907,0.661,0,0.054,0.486,0
"Chagar Bazar",0,0,0,0,0,0,0,0,0,0.269,0,0,0.267,0.539,0.887,0.715,0.629,0.991,0.998,0.945,0.884,1,0.093
"Arpachiyah",0,0,0.746,0,0.746,0,0,0,0,0,0,0,0,0,0,0,0,0.905,0.642,0,0.052,0.064,0
"Byblos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0.129,0.632,0.773,0.638,0.828,0.826,0.126,0.838
"Tell Sabi Abyad I",0,0,0,0,0,0,0.269,0,0,0,0,0,0.168,0.606,0.963,0.991,0.928,0.142,0.892,1,0.879,1,0.893
"Givat Ha-Parsa",0.924,0.924,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.163,0,0.933
"Tabbat al-Hammam",0.915,0.915,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.154,0,0.944
"Tel Mevorakh",0,0,0,0,0,0,0.267,0,0,0.168,0,0,0,0.609,0.534,0.774,0.397,0.14,0.891,0.941,0.395,1,0.055
"Ayngerm",0,0,0,0,0,0,0.539,0,0,0.606,0,0,0.609,0,0.447,0.731,0.288,0.038,0.719,0.759,0.189,0.993,0.019
"Choga Mami",0,0,0,0.524,0,0.146,0.887,0,0.425,0.963,0,0,0.534,0.447,0,0.81,0.766,0.235,0.795,0.977,0.887,0.976,0.578
"Tell Umm Qseir",0,0,0,0.543,0,0,0.715,0,0.129,0.991,0,0,0.774,0.731,0.81,0,0.762,0.026,0.686,0.971,0.726,0.984,0.557
"Kashkashok",0,0,0,0.926,0,0,0.629,0,0.632,0.928,0,0,0.397,0.288,0.766,0.762,0,0.078,0.239,0.964,0.695,0.908,0.525
"Tilki Tepe",0,0,0.999,0,0.999,0.907,0.991,0.905,0.773,0.142,0,0,0.14,0.038,0.235,0.026,0.078,0,0.714,0.048,0.278,0.806,0.002
"Banahilk",0,0,0.902,0,0.902,0.661,0.998,0.642,0.638,0.892,0,0,0.891,0.719,0.795,0.686,0.239,0.714,0,0.654,0.297,0.963,0.008
"Tell Aray 1",0,0,0,0.989,0,0,0.945,0,0.828,1,0,0,0.941,0.759,0.977,0.971,0.964,0.048,0.654,0,0.675,0.769,0.599
"Hagoshrim",0.542,0.542,0.144,0.722,0.144,0.054,0.884,0.052,0.826,0.879,0.163,0.154,0.395,0.189,0.887,0.726,0.695,0.278,0.297,0.675,0,0.37,0.776
"Yarim II",0,0,0.131,0,0.131,0.486,1,0.064,0.126,1,0,0,1,0.993,0.976,0.984,0.908,0.806,0.963,0.769,0.37,0,0
"Domuztepe",1,1,0,0.953,0,0,0.093,0,0.838,0.893,0.933,0.944,0.055,0.019,0.578,0.557,0.525,0.002,0.008,0.599,0.776,0,0
