ID,Site,Period,Country,Region,Latitude,Longitude,Obsidian analyzed,Gollu Dag East,Nenezi Dag,Pasinler,Sarikamis,Bingol A,Bingol B,Nemrut Dag,Bingol A / Nemrut Dag,Meydan Dag,Suphan Dag,3d,Unknown,GN,Walktrap,Cfinder,PPA_GN,PPA_Walktrap,PPA_Cfinder
1,Kurdu,7,Turkey,Northern Levant,36.35,36.5166666667,1,1,,,,,,,,,,,,1,3,,1,2,
2,Ras Shamra,7,Syria,Northern Levant,35.6,35.633333,1,1,,,,,,,,,,,,1,3,,1,2,
3,Tamar Tepe,7,Iran,Northern Zagros,30.9166666667,35.45,1,,,,,,,,,1,,,,2,2,,2,4,
4,Choga Sefid,7,Iran,Southern Zagros,32.616667,47.25,1,,,,,,1,,,,,,,3,1,,3,1,
5,Sabz,7,Iran,Southern Zagros,32.416667,47.25,1,,,,,,,,,1,,,,4,2,,3,1,
6,Halaf,7,Syria,Jezireh,36.816667,40.05,2,,,,,,,,,1,,1,,4,2,,4,3,
7,Chagar Bazar,7,Syria,Jezireh,36.866667,40.9,2,,,,,,,,1,1,,,,5,1,,4,3,
8,Arpachiyah,7,Iraq,Jezireh,36.366667,43.2,2,,,,,,,,,2,,,,4,2,,3,1,
9,Byblos,7,Lebanon,Northern Levant,34.116667,35.65,2,,,,,,1,,,1,,,,4,1,,1,2,
10,Tell Sabi Abyad I,7,Syria,Jezireh,36.516667,36.516667,3,,,,,2,1,,,,,,,5,1,,1,2,
11,Givat Ha-Parsa,7,Israel,Southern Levant,31.85,34.7,3,3,,,,,,,,,,,,1,3,,2,4,
12,Tabbat al-Hammam,7,Syria,Northern Levant,34.7666666667,35.9833333333,3,3,,,,,,,,,,,,1,3,,1,2,
13,Tel Mevorakh,7,Israel,Southern Levant,32.53333,34.91,3,,1,,,,,2,,,,,,5,1,,2,4,
14,Ayngerm,7,Turkey,High Valleys,37.4,41.5,5,,,,,,,,5,,,,,5,1,,4,3,
15,Choga Mami,7,Iraq,Mesopotamian plain,33.8833333333,45.45,7,,,,,,2,4,,1,,,,5,1,,3,1,
16,Tell Umm Qseir,7,Syria,Jezireh,36.4166666667,41,8,,,,,,2,,5,,,,1,5,1,,4,3,
17,Kashkashok,7,Syria,Jezireh,36.633333,40.666667,9,,,,,3,4,1,,,,1,,5,1,,4,3,
18,Tilki Tepe,7,Turkey,Eastern Anatolia,38.45,43.333333,11,,,,,,,,3,6,,1,1,4,1,,3,1,
19,Banahilk,7,Iraq,Northern Zagros,36.666667,44.533333,11,,,,,,,7,,4,,,,5,1,,3,1,
20,Tell Aray 1,7,Syria,Northern Levant,35.9,36.5,25,1,,,,,8,,11,,,,5,6,1,,1,2,
21,Hagoshrim,7,Israel,Southern Levant,33.183333,35.633333,28,5,,,4,,6,,7,3,,,3,6,1,,2,4,
22,Yarim II,7,Iraq,Jezireh,36.35,42.35,42,,,,,14,1,15,,5,3,4,,5,1,,3,1,
23,Domuztepe,7,Turkey,Central Anatolia,36.66667,35.48333,50,23,,6,,,14,,7,,,,,6,1,,1,2,
