,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
1,0,115338,612849,1068166,1078062,320063,395856,599033,260800,18553,528153,182753,449723,458835,858135,401827,372710,646355,717950,50116,361643,522925,98950
2,115338,0,521625,1120205,1128171,419141,493399,686733,165131,129351,426291,98079,347832,561789,917654,491674,466951,753956,808626,85122,269022,610694,119505
3,612849,521625,0,1132089,1129794,782143,831707,939568,356716,631150,125995,431471,187088,911364,995689,799202,798423,1105405,1055473,563245,252916,879745,640095
4,1068166,1120205,1132089,0,22264,807449,748828,558752,1090686,1074582,1184135,1069987,1156971,746945,218995,712167,750409,739777,514877,1053706,1087036,612099,1167088
5,1078062,1128171,1129794,22264,0,821153,763601,575852,1095517,1084799,1184047,1076338,1158299,763395,234087,726134,764434,759589,534614,1062692,1089769,627799,1177010
6,320063,419141,782143,807449,821153,0,75929,285951,499377,317242,739680,432275,669688,144175,588920,95852,58685,341785,400247,334185,570641,212049,407672
7,395856,493399,831707,748828,763601,75929,0,212903,565664,393169,797432,501524,729924,79751,529839,50884,33284,277564,324750,408701,631170,141761,483484
8,599033,686733,939568,558752,575852,285951,212903,0,730437,598621,930311,677126,871985,190110,344049,197216,228623,232215,123873,604488,777009,76223,690997
9,260800,165131,356716,1090686,1095517,499377,565664,730437,0,278519,267459,78563,189218,642322,904449,549422,534512,840957,854257,213109,103910,657789,284268
10,18553,129351,631150,1074582,1084799,317242,393169,598621,278519,0,545729,200694,467242,453994,863445,401481,371201,639260,716507,68663,379732,522694,93855
11,528153,426291,125995,1184135,1184047,739680,797432,930311,267459,545729,0,345927,78598,876829,1029768,771283,764537,1074803,1050830,480530,172352,864503,541004
12,182753,98079,431471,1069987,1076338,432275,501524,677126,78563,200694,345927,0,267766,576254,875507,489782,471543,773882,800864,134604,179192,602770,216280
13,449723,347832,187088,1156971,1158299,669688,729924,871985,189218,467242,78598,267766,0,808850,992662,706279,697355,1007480,993915,402323,99048,804004,463108
14,458835,561789,911364,746945,763395,144175,79751,190110,642322,453994,876829,576254,808850,0,529931,118165,113004,198937,281631,476675,709983,139252,540768
15,858135,917654,995689,218995,234087,588920,529839,344049,904449,863445,1029768,875507,992662,529931,0,493450,531637,542736,320838,847120,913882,393754,956728
16,401827,491674,799202,712167,726134,95852,50884,197216,549422,401481,771283,489782,706279,118165,493450,0,38352,306203,317215,408482,608271,121213,494109
17,372710,466951,798423,750409,764434,58685,33284,228623,534512,371201,764537,471543,697355,113004,531637,38352,0,310295,345333,382746,598688,153913,462889
18,646355,753956,1105405,739777,759589,341785,277564,232215,840957,639260,1074803,773882,1007480,198937,542736,306203,310295,0,224992,669045,908693,249416,720352
19,717950,808626,1055473,514877,534614,400247,324750,123873,854257,716507,1050830,800864,993915,281631,320838,317215,345333,224992,0,725684,899598,198505,807792
20,50116,85122,563245,1053706,1062692,334185,408701,604488,213109,68663,480530,134604,402323,476675,847120,408482,382746,669045,725684,0,312681,528308,124926
21,361643,269022,252916,1087036,1089769,570641,631170,777009,103910,379732,172352,179192,99048,709983,913882,608271,598688,908693,899598,312681,0,707922,388005
22,522925,610694,879745,612099,627799,212049,141761,76223,657789,522694,864503,602770,804004,139252,393754,121213,153913,249416,198505,528308,707922,0,615276
23,98950,119505,640095,1167088,1177010,407672,483484,690997,284268,93855,541004,216280,463108,540768,956728,494109,462889,720352,807792,124926,388005,615276,0
