Site,GolluDagEast,NeneziDag,Pasinler,Sarikamis,BingolB,MeydanDag,SuphanDag,3d,BingolA-NemrutDag
Kurdu,1,0,0,0,0,0,0,0,0
Ras Shamra,1,0,0,0,0,0,0,0,0
Tamar Tepe,0,0,0,0,0,1,0,0,0
Choga Sefid,0,0,0,0,1,0,0,0,0
Sabz,0,0,0,0,0,1,0,0,0
Halaf,0,0,0,0,0,1,0,1,0
Chagar Bazar,0,0,0,0,0,1,0,0,1
Arpachiyah,0,0,0,0,0,2,0,0,0
Byblos,0,0,0,0,1,1,0,0,0
Tell Sabi Abyad I,0,0,0,0,1,0,0,0,2
Givat Ha-Parsa,3,0,0,0,0,0,0,0,0
Tabbat al-Hammam,3,0,0,0,0,0,0,0,0
Tel Mevorakh,0,1,0,0,0,0,0,0,2
Ayngerm,0,0,0,0,0,0,0,0,5
Choga Mami,0,0,0,0,2,1,0,0,4
Tell Umm Qseir,0,0,0,0,2,0,0,0,5
Kashkashok,0,0,0,0,4,0,0,1,4
Tilki Tepe,0,0,0,0,0,6,0,1,3
Banahilk,0,0,0,0,0,4,0,0,7
Tell Aray 1,1,0,0,0,8,0,0,0,11
Hagoshrim,5,0,0,4,6,3,0,0,7
Yarim II,0,0,0,0,1,5,3,4,29
Domuztepe,23,0,6,0,14,0,0,0,7
