"Asikli","Gedik Pasa","Kocatepe","Cafer Huyuk","Boy Tepe","Papazgolu","Golbent Ergani","Cinaz Huyuk","Gobekli","Djade","Cheikh Hassan","Mureybet","Abu Hureyra","Ghoraife","Aswad","Guran","Tell Abdul Hosein","Ali Kosh","Beidha","Yiftael","Kfar Hahoresh","Mujahiya","Nahal Lavan","Jericho","Shillourokambos","Cayonu","Munhata","Nahal Oren","Mikhmoret","Birikin Magarasi","Nevshehir Kogulalti","Halula","Akarcay Tepe","Horvat Galil"
"Asikli",0,0.072,0.084,0,0,0,0,0,0.356,0.435,0.781,0.221,0.104,0.416,0.738,0,0,0,0.57,0.906,0.839,0.778,0.636,0.998,0.844,0,0.148,0.994,0.914,0,0.977,0.066,0.054,0.982
"Gedik Pasa",0.072,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0.535,0,0,0,0,0,0,0
"Kocatepe",0.084,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0.511,0,0,0,0,0,0,0
"Cafer Huyuk",0,0,0,0,0.945,0.616,0.624,0.895,0.259,0.031,0,0.08,0.018,0.011,0,0.055,0,0.897,0,0,0,0,0,0,0,0.122,0,0,0,0.965,0,0.087,0,0
"Boy Tepe",0,0,0,0.945,0,0,0,0.263,0.137,0.079,0,0.04,0.038,0,0,0.029,0,0.564,0,0,0,0,0,0,0,0.034,0,0,0,0.512,0,0.011,0,0
"Papazgolu",0,0,0,0.616,0,0,0.487,0.567,0.622,0.097,0,0.053,0.045,0,0,0.032,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.016,0,0
"Golbent Ergani",0,0,0,0.624,0,0.487,0,0.586,0.627,0.075,0,0.037,0.036,0,0,0.031,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0.019,0,0
"Cinaz Huyuk",0,0,0,0.895,0.263,0.567,0.586,0,0.428,0.052,0,0.03,0.031,0,0,0.019,0,0.254,0,0,0,0,0,0,0,0.117,0,0,0,0.283,0,0.042,0,0
"Gobekli",0.356,0,0,0.259,0.137,0.622,0.627,0.428,0,0.371,0.289,0.39,0.322,0.291,0.32,0.034,0,0.286,0.348,0.275,0.284,0.302,0.388,0.151,0.4,0.129,0,0.286,0.29,0.14,0.309,0.307,0.09,0.307
"Djade",0.435,0,0,0.031,0.079,0.097,0.075,0.052,0.371,0,0.644,0.427,0.23,0.5,0.692,0.018,0,0.181,0.582,0.815,0.773,0.657,0.436,0.994,0.454,0.028,0,0.986,0.87,0.089,0.957,0.185,0.072,0.952
