Site,Agicol East AC,Agicol West,Gollu Dag East,Nenezi Dag,Bingol A,Bingol B,Nemrut Dag,Bingol A-Nemrut Dag
Asikli,0,1,34,5,0,0,0,0
Gedik Pasa,0,0,0,2,0,0,0,0
Kocatepe,0,0,0,2,0,0,0,0
Cafer Huyuk,0,0,0,0,3,17,1,0
Boy Tepe,0,0,0,0,0,2,0,0
Papazgolu,0,0,0,0,1,1,0,0
Golbent Ergani,0,0,0,0,1,1,0,0
Cinaz Huyuk,0,0,0,0,1,2,0,0
Gobekli,0,0,41,0,38,15,0,0
Djade,1,0,45,0,0,9,1,0
Cheikh Hassan,0,0,12,0,0,0,0,0
Mureybet,0,0,17,0,5,3,1,0
Abu Hureyra,0,0,6,0,0,5,0,11
Ghoraife,0,0,4,0,0,0,2,0
Aswad,0,0,13,0,0,0,2,0
Guran,0,0,0,0,0,2,0,4
Tell Abdul Hosein,0,0,0,0,0,0,11,0
Ali Kosh,0,0,0,0,0,1,0,0
Beidha,0,0,2,0,0,0,0,1
Yiftael,0,0,7,0,0,0,0,0
Kfar Hahoresh,0,0,8,0,0,0,0,0
Mujahiya,0,0,13,0,0,0,0,0
Nahal Lavan,0,0,68,0,0,0,0,0
Jericho,0,0,2,0,0,0,0,0
Shillourokambos,0,0,61,3,0,0,0,0
Cayonu,0,0,0,0,1,6,0,8
Munhata,0,0,0,1,0,0,0,0
Nahal Oren,0,0,1,0,0,0,0,0
Mikhmoret,0,0,6,0,0,0,0,0
Birikin Magarasi,0,0,0,0,0,2,0,0
Nevshehir Kogulalti,0,0,4,0,0,0,0,0
Halula,0,0,2,0,1,2,3,0
Akarcay Tepe,0,0,1,0,0,0,0,2
Horvat Galil,0,0,4,0,0,0,0,0
