,Asikli,Gedik Pasa,Kocatepe,Cafer Huyuk,Boy Tepe,Papazgolu,Golbent Ergani,Cinaz Huyuk,Gobekli,Djade,Cheikh Hassan,Mureybet,Abu Hureyra,Ghoraife,Aswad,Guran,Tell Abdul Hosein,Ali Kosh,Beidha,Yiftael,Kfar Hahoresh,Mujahiya,Nahal Lavan,Jericho,Shillourokambos,Cayonu,Munhata,Nahal Oren,Mikhmoret,Birikin Magarasi,Nevshehir Kogulalti,Halula,Akarcay Tepe,Horvat Galil
Asikli,200,25,25,0,0,0,0,0,87,161,170,131,55,133,170,0,0,0,133,170,170,170,170,170,179,0,25,170,170,0,170,50,67,170
Gedik Pasa,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Kocatepe,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Cafer Huyuk,0,0,0,200,162,129,129,162,60,36,0,59,45,10,10,67,10,162,0,0,0,0,0,0,0,93,0,0,0,162,0,85,0,0
Boy Tepe,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Papazgolu,0,0,0,129,100,200,200,167,113,32,0,62,45,0,0,67,0,100,0,0,0,0,0,0,0,93,0,0,0,100,0,75,0,0
Golbent Ergani,0,0,0,129,100,200,200,167,113,32,0,62,45,0,0,67,0,100,0,0,0,0,0,0,0,93,0,0,0,100,0,75,0,0
Cinaz Huyuk,0,0,0,162,133,167,167,200,99,32,0,62,45,0,0,67,0,133,0,0,0,0,0,0,0,93,0,0,0,133,0,75,0,0
Gobekli,87,0,0,60,32,113,113,99,200,119,87,149,86,87,87,32,0,32,87,87,87,87,87,87,87,45,0,87,87,32,87,107,67,87
Djade,161,0,0,36,32,32,32,32,119,200,161,157,87,137,164,32,4,32,133,161,161,161,161,161,161,32,0,161,161,32,161,86,67,161
Cheikh Hassan,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mureybet,131,0,0,59,23,62,62,62,149,157,131,200,78,138,138,23,8,23,131,131,131,131,131,131,131,36,0,131,131,23,131,106,67,131
Abu Hureyra,55,0,0,45,45,45,45,45,86,87,55,78,200,55,55,145,0,45,121,55,55,55,55,55,55,145,0,55,55,45,55,95,155,55
Ghoraife,133,0,0,10,0,0,0,0,87,137,133,138,55,200,160,0,67,0,133,133,133,133,133,133,133,0,0,133,133,0,133,117,67,133
Aswad,170,0,0,10,0,0,0,0,87,164,173,138,55,160,200,0,27,0,133,173,173,173,173,173,173,0,0,173,173,0,173,77,67,173
Guran,0,0,0,67,67,67,67,67,32,32,0,23,145,0,0,200,0,67,67,0,0,0,0,0,0,173,0,0,0,67,0,50,133,0
Tell Abdul Hosein,0,0,0,10,0,0,0,0,0,4,0,8,0,67,27,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
Ali Kosh,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Beidha,133,0,0,0,0,0,0,0,87,133,133,131,121,133,133,67,0,0,200,133,133,133,133,133,133,67,0,133,133,0,133,50,133,133
Yiftael,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Kfar Hahoresh,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mujahiya,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Nahal Lavan,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Jericho,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Shillourokambos,179,9,9,0,0,0,0,0,87,161,191,131,55,133,173,0,0,0,133,191,191,191,191,191,200,0,9,191,191,0,191,50,67,191
Cayonu,0,0,0,93,80,93,93,93,45,32,0,36,145,0,0,173,0,80,67,0,0,0,0,0,0,200,0,0,0,80,0,63,107,0
Munhata,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Nahal Oren,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mikhmoret,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Birikin Magarasi,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Nevshehir Kogulalti,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Halula,50,0,0,85,50,75,75,75,107,86,50,106,95,117,77,50,75,50,50,50,50,50,50,50,50,63,0,50,50,50,50,200,50,50
Akarcay Tepe,67,0,0,0,0,0,0,0,67,67,67,67,155,67,67,133,0,0,133,67,67,67,67,67,67,107,0,67,67,0,67,50,200,67
Horvat Galil,170,0,0,0,0,0,0,0,87,161,200,131,55,133,173,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
