"Asikli","Gedik Pasa","Kocatepe","Cafer Huyuk","Boy Tepe","Papazgolu","Golbent Ergani","Cinaz Huyuk","Gobekli","Djade","Cheikh Hassan","Mureybet","Abu Hureyra","Ghoraife","Aswad","Guran","Tell Abdul Hosein","Ali Kosh","Beidha","Yiftael","Kfar Hahoresh","Mujahiya","Nahal Lavan","Jericho","Shillourokambos","Cayonu","Munhata","Nahal Oren","Mikhmoret","Birikin Magarasi","Nevshehir Kogulalti","Halula","Akarcay Tepe","Horvat Galil"
"Asikli",0,0.066,0.073,0,0,0,0,0,0.37,0.495,0.792,0.221,0.115,0.429,0.763,0,0,0,0.559,0.877,0.839,0.776,0.65,0.998,0.744,0,0.131,0.995,0.896,0,0.955,0.063,0.034,0.953
"Gedik Pasa",0.066,0,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,0.531,0,0,0,0,0,0,0
"Kocatepe",0.073,0.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0.505,0,0,0,0,0,0,0
"Cafer Huyuk",0,0,0,0,0.936,0.737,0.756,0.934,0.308,0.064,0,0.08,0.134,0.007,0,0.129,0.015,0.889,0.026,0,0,0,0,0,0,0.137,0,0,0,0.934,0,0.081,0.026,0
"Boy Tepe",0,0,0,0.936,0,0,0,0.289,0.161,0.109,0,0.038,0.043,0,0,0.036,0,0.519,0,0,0,0,0,0,0,0.019,0,0,0,0.484,0,0.014,0,0
"Papazgolu",0,0,0,0.737,0,0,0.472,0.576,0.633,0.099,0,0.047,0.813,0.037,0.027,0.728,0.105,0,0,0,0,0,0,0,0,0.987,0,0,0,0,0,0.596,0.283,0
"Golbent Ergani",0,0,0,0.756,0,0.472,0,0.509,0.642,0.103,0,0.045,0.806,0.038,0.026,0.736,0.098,0,0,0,0,0,0,0,0,0.991,0,0,0,0,0,0.599,0.28,0
"Cinaz Huyuk",0,0,0,0.934,0.289,0.576,0.509,0,0.394,0.067,0,0.029,0.259,0.024,0.023,0.409,0.019,0.222,0,0,0,0,0,0,0,0.639,0,0,0,0.273,0,0.202,0,0
"Gobekli",0.37,0,0,0.308,0.161,0.633,0.642,0.394,0,0.39,0.307,0.55,0.723,0.864,0.329,0.396,0.305,0.304,0.981,0.297,0.316,0.335,0.408,0.162,0.388,0.322,0,0.304,0.296,0.161,0.313,0.887,0.962,0.312
"Djade",0.495,0,0,0.064,0.109,0.099,0.103,0.067,0.39,0,0.688,0.506,0.257,0.551,0.706,0.016,0,0.207,0.666,0.808,0.812,0.728,0.499,0.991,0.466,0.071,0,0.984,0.852,0.096,0.939,0.214,0.062,0.927
"Cheikh Hassan",0.792,0,0,0,0,0,0,0,0.307,0.688,0,0.197,0.035,0.236,0.74,0,0,0,0.361,0.999,0.996,1,1,0.995,0.983,0,0,0.995,0.969,0,0.976,0.008,0.009,0.978
"Mureybet",0.221,0,0,0.08,0.038,0.047,0.045,0.029,0.55,0.506,0.197,0,0.172,0.897,0.516,0.06,0.031,0.082,0.989,0.303,0.249,0.207,0.289,0.606,0.276,0.089,0,0.421,0.313,0.039,0.442,0.174,0.276,0.404
"Abu Hureyra",0.115,0,0,0.134,0.043,0.813,0.806,0.259,0.723,0.257,0.035,0.172,0,0.263,0.111,0.499,0.114,0.083,0.366,0.032,0.036,0.042,0.187,0.036,0.187,0.292,0,0.083,0.04,0.041,0.02,0.99,0.845,0.018
"Ghoraife",0.429,0,0,0.007,0,0.037,0.038,0.024,0.864,0.551,0.236,0.897,0.263,0,0.607,0.035,0.022,0,0.903,0.309,0.282,0.334,0.519,0.228,0.493,0.026,0,0.337,0.182,0,0.26,0.14,0.407,0.235
"Aswad",0.763,0,0,0,0,0.027,0.026,0.023,0.329,0.706,0.74,0.516,0.111,0.607,0,0.003,0.002,0,0.777,0.802,0.775,0.758,0.833,0.961,0.848,0,0,0.936,0.818,0,0.904,0.044,0.128,0.906
"Guran",0,0,0,0.129,0.036,0.728,0.736,0.409,0.396,0.016,0,0.06,0.499,0.035,0.003,0,0.302,0.077,0.021,0,0,0,0,0,0,0.955,0,0,0,0.037,0,0.372,0.377,0
"Tell Abdul Hosein",0,0,0,0.015,0,0.105,0.098,0.019,0.305,0,0,0.031,0.114,0.022,0.002,0.302,0,0,0.016,0,0,0,0,0,0,0.129,0,0,0,0,0,0.075,0.461,0
"Ali Kosh",0,0,0,0.889,0.519,0,0,0.222,0.304,0.207,0,0.082,0.083,0,0,0.077,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0.517,0,0.022,0,0
"Beidha",0.559,0,0,0.026,0,0,0,0,0.981,0.666,0.361,0.989,0.366,0.903,0.777,0.021,0.016,0,0,0.383,0.417,0.486,0.625,0.282,0.613,0.01,0,0.271,0.278,0,0.365,0.208,0.414,0.361
"Yiftael",0.877,0,0,0,0,0,0,0,0.297,0.808,0.999,0.303,0.032,0.309,0.802,0,0,0,0.383,0,0.998,1,1,0.981,0.993,0,0,0.953,0.996,0,0.993,0.002,0.029,0.988
"Kfar Hahoresh",0.839,0,0,0,0,0,0,0,0.316,0.812,0.996,0.249,0.036,0.282,0.775,0,0,0,0.417,0.998,0,1,1,0.982,0.993,0,0,0.972,0.998,0,0.933,0,0.014,0.941
"Mujahiya",0.776,0,0,0,0,0,0,0,0.335,0.728,1,0.207,0.042,0.334,0.758,0,0,0,0.486,1,1,0,1,0.999,0.989,0,0,0.998,0.998,0,1,0.006,0.013,0.999
