,Assouad,Halula,Abu Hureyra,Ras Shamra,Bouqras,Tell es Sinn,Ghoraife,Ramad,Beisamoun,el Khiam,Shillourokambos,Magzalia,Shimshara,Jarmo,Tamerkhan,Guran,Choga Sefid,Ali Kosh,Tell Sabi Abyad I,Tell Sabi Abyad II,Ain Miri,Tell el Kerkh 2,Wadi Tumbaq,Akarcay Tepe,Gurcutepe I,Tell Labweh
Assouad,200,129,67,0,173,180,156,0,7,0,0,142,120,80,80,100,120,120,67,0,0,16,0,120,118,67
Halula,129,200,81,14,122,129,121,14,21,14,14,137,100,80,29,100,100,100,81,0,14,30,14,100,128,81
Abu Hureyra,67,81,200,33,93,67,100,113,33,33,33,67,67,167,0,167,67,147,67,100,33,55,33,97,100,100
Ras Shamra,0,14,33,200,0,0,44,120,133,133,133,0,0,0,0,0,0,0,0,0,133,133,133,0,35,100
Bouqras,173,122,93,0,200,173,156,27,7,0,0,116,93,107,80,120,93,120,67,27,0,21,0,120,118,67
Tell es Sinn,180,129,67,0,173,200,156,0,7,0,0,122,100,80,100,100,100,100,67,0,0,16,0,100,118,67
Ghoraife,156,121,100,44,156,156,200,44,51,44,44,100,78,78,78,78,78,78,67,0,44,60,44,78,153,111
Ramad,0,14,113,120,27,0,44,200,120,120,120,0,0,80,0,80,0,80,0,80,120,125,120,31,35,100
Beisamoun,7,21,33,133,7,7,51,120,200,180,187,7,0,0,7,0,0,0,0,0,180,171,180,0,48,107
el Khiam,0,14,33,133,0,0,44,120,180,200,191,0,0,0,0,0,0,0,0,0,200,165,200,0,35,100
Shillourokambos,0,14,33,133,0,0,44,120,187,191,200,0,0,0,0,0,0,0,0,0,191,174,191,0,41,109
Magzalia,142,137,67,0,116,122,100,0,7,0,0,200,122,80,22,100,122,120,122,0,0,16,0,122,134,67
Shimshara,120,100,67,0,93,100,78,0,0,0,0,122,200,80,0,100,200,120,67,0,0,16,0,169,71,67
Jarmo,80,80,167,0,107,80,78,80,0,0,0,80,80,200,0,180,80,160,67,120,0,21,0,111,71,67
Tamerkhan,80,29,0,0,80,100,78,0,7,0,0,22,0,0,200,0,0,0,0,0,0,0,0,0,47,0
Guran,100,100,167,0,120,100,78,80,0,0,0,100,100,180,0,200,100,180,67,100,0,21,0,131,71,67
Choga Sefid,120,100,67,0,93,100,78,0,0,0,0,122,200,80,0,100,200,120,67,0,0,16,0,169,71,67
Ali Kosh,120,100,147,0,120,100,78,80,0,0,0,120,120,160,0,180,120,200,67,80,0,21,0,151,71,67
Tell Sabi Abyad I,67,81,67,0,67,67,67,0,0,0,0,122,67,67,0,67,67,67,200,0,0,16,0,67,108,67
Tell Sabi Abyad II,0,0,100,0,27,0,0,80,0,0,0,0,0,120,0,100,0,80,0,200,0,5,0,31,0,0
Ain Miri,0,14,33,133,0,0,44,120,180,200,191,0,0,0,0,0,0,0,0,0,200,165,200,0,35,100
Tell el Kerkh 2,16,30,55,133,21,16,60,125,171,165,174,16,16,21,0,21,16,21,16,5,165,200,165,21,57,130
Wadi Tumbaq,0,14,33,133,0,0,44,120,180,200,191,0,0,0,0,0,0,0,0,0,200,165,200,0,35,100
Akarcay Tepe,120,100,97,0,120,100,78,31,0,0,0,122,169,111,0,131,169,151,67,31,0,21,0,200,71,67
Gurcutepe I,118,128,100,35,118,118,153,35,48,35,41,134,71,71,47,71,71,71,108,0,35,57,35,71,200,108
Tell Labweh,67,81,100,100,67,67,111,100,107,100,109,67,67,67,0,67,67,67,67,0,100,130,100,67,108,200
