,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
1,0,64252,245567,250382,203766,355541,385159,433679,595837,503222,371775,608855,617336,903629,865347,933807,949707,84290,84290,448087,168203,168454,57336,98965,300086
2,64252,0,250256,202011,173134,311604,345138,397293,552451,504169,358556,592189,593174,869069,831416,892088,907990,96855,96855,411814,174550,127384,121469,145508,265707
3,245567,250256,0,435391,422417,246152,248616,270986,442872,257671,608320,842439,841850,1108433,1071719,1120205,1135984,328215,328215,282512,77660,175138,260136,333984,169595
4,250382,202011,435391,0,81983,393846,435633,493028,610122,673808,229230,431955,416589,673132,636331,690778,706669,198697,198697,506398,366335,269271,295985,267123,385247
5,203766,173134,422417,81983,0,428383,468417,525156,657332,672904,193290,421095,420042,700114,661964,731123,747007,134151,134151,539209,347552,274302,238928,196291,405354
6,355541,311604,246152,393846,428383,0,42288,99401,240977,350925,617414,824439,802133,1019431,986685,1004307,1019348,407738,407738,112564,256148,187231,402330,452729,76869
7,385159,345138,248616,435633,468417,42288,0,57396,211648,320322,658320,866519,844417,1060619,1028069,1044011,1058977,441852,441852,70992,270926,218559,429138,483431,89474
8,433679,397293,270986,493028,525156,99401,57396,0,172755,291163,715475,923831,901295,1114186,1082056,1094798,1109624,494148,494148,14521,306331,269966,474719,532510,133613
9,595837,552451,442872,610122,657332,240977,211648,172755,0,402701,839029,1028116,995407,1172077,1143541,1134412,1148203,648267,648267,160487,478388,427947,640727,693503,300342
10,503222,504169,257671,673808,672904,350925,320322,291163,402701,0,862541,1093978,1088295,1339710,1304468,1338353,1353807,585756,585756,290812,335236,404615,514210,589519,309001
11,371775,358556,608320,229230,193290,617414,658320,715475,839029,862541,0,237290,254720,560255,520981,618022,633286,288277,288277,729304,531517,467398,387487,319713,598260
12,608855,592189,842439,431955,421095,824439,866519,923831,1028116,1093978,237290,0,74228,361817,324128,451333,464457,525545,525545,936908,766366,692860,624158,554519,816524
13,617336,593174,841850,416589,420042,802133,844417,901295,995407,1088295,254720,74228,0,311205,272185,388617,402533,536373,536373,913846,767548,684108,639041,573671,801027
14,903629,869069,1108433,673132,700114,1019431,1060619,1114186,1172077,1339710,560255,361817,311205,0,39282,127079,132313,827608,827608,1124767,1038995,938992,932937,873069,1036359
15,865347,831416,1071719,636331,661964,986685,1028069,1082056,1143541,1304468,520981,324128,272185,39282,0,146702,155307,788984,788984,1092840,1001843,902953,894227,834057,1002087
16,933807,892088,1120205,690778,731123,1004307,1044011,1094798,1134412,1338353,618022,451333,388617,127079,146702,0,15907,863600,863600,1104181,1055325,946580,969335,916172,1030412
17,949707,907990,1135984,706669,747007,1019348,1058977,1109624,1148203,1353807,633286,464457,402533,132313,155307,15907,0,879456,879456,1118948,1071171,962310,985196,931937,1045782
18,84290,96855,328215,198697,134151,407738,441852,494148,648267,585756,288277,525545,536373,827608,788984,863600,879456,0,0,508669,250565,224217,105820,70852,362362
19,84290,96855,328215,198697,134151,407738,441852,494148,648267,585756,288277,525545,536373,827608,788984,863600,879456,0,0,508669,250565,224217,105820,70852,362362
20,448087,411814,282512,506398,539209,112564,70992,14521,160487,290812,729304,936908,913846,1124767,1092840,1104181,1118948,508669,508669,0,319592,284486,488916,546936,148004
21,168203,174550,77660,366335,347552,256148,270926,306331,478388,335236,531517,766366,767548,1038995,1001843,1055325,1071171,250565,250565,319592,0,124957,187107,258921,182228
22,168454,127384,175138,269271,274302,187231,218559,269966,427947,404615,467398,692860,684108,938992,902953,946580,962310,224217,224217,284486,124957,0,217385,265560,138589
23,57336,121469,260136,295985,238928,402330,429138,474719,640727,514210,387487,624158,639041,932937,894227,969335,985196,105820,105820,488916,187107,217385,0,76250,341610
24,98965,145508,333984,267123,196291,452729,483431,532510,693503,589519,319713,554519,573671,873069,834057,916172,931937,70852,70852,546936,258921,265560,76250,0,398953
25,300086,265707,169595,385247,405354,76869,89474,133613,300342,309001,598260,816524,801027,1036359,1002087,1030412,1045782,362362,362362,148004,182228,138589,341610,398953,0
