Site,Agicol East AC,Gollu Dag East,Nenezi Dag,Bingol A,Bingol B,Nemrut Dag,Bingol A-Nemrut Dag,Aragats,1e-f,3d high in rubidium
Ilicapinar,0,3,0,0,0,0,0,0,0,0
Avla Dag,0,1,0,0,0,0,0,0,1,0
Kumluk,0,2,0,0,0,0,0,0,2,0
Mersin,0,5,0,0,0,0,0,0,0,0
Judaidah,0,1,0,0,0,0,0,0,0,0
El Kowm 2,1,1,0,7,4,0,0,0,0,0
Umm et Tlel,0,0,0,0,8,0,0,0,0,0
Qdeir,0,143,4,122,248,0,0,0,0,0
Abu Hureyra,0,43,0,0,99,0,37,0,0,5
Sotto,0,0,0,0,2,5,0,0,0,0
Kul Tepe,0,0,0,1,0,3,0,0,0,0
Shimshara,0,0,0,0,0,0,2,0,0,0
Jarmo,0,0,0,0,4,0,5,0,0,0
Sarab,0,0,0,0,2,0,4,0,0,0
Guran,0,0,0,0,2,0,2,0,0,0
Choga Sefid,0,0,0,0,58,0,0,0,0,0
Ali Kosh,0,0,0,0,2,0,2,0,0,0
Klepini Troulli,0,3,0,0,0,0,0,0,0,0
Cap Andreas,0,13,0,0,0,0,0,0,0,0
Khirokitia,0,6,0,0,0,0,0,0,0,0
Shillourokambos,0,61,3,0,0,0,0,0,0,0
Ashkelon,0,7,4,0,0,0,0,0,0,0
Kalavasos Tenta,0,6,0,0,0,0,0,0,0,0
Kritou-Marottou,0,1,0,0,0,0,0,0,0,0
Tell el Kerkh 2,1,229,17,0,1,0,2,0,0,0
Halula,0,3,1,1,1,2,0,0,0,0
Damishliyya I,0,0,0,19,44,0,0,0,0,0
Nahal Zehora II,0,1,0,3,1,0,0,0,0,0
Yumuktepe,1,15,26,0,0,0,0,0,0,0
Horvat Usa,0,1,0,0,2,0,0,1,0,0
Akarcay Tepe,0,2,0,0,0,0,0,0,0,0
Tell Labweh,0,13,1,0,3,0,0,0,0,0
