,Ilicapinar,Avla Dag,Kumluk,Mersin,Judaidah,El Kowm 2,Umm et Tlel,Qdeir,Abu Hureyra,Sotto,Kul Tepe,Shimshara,Jarmo,Sarab,Guran,Choga Sefid,Ali Kosh,Klepini Troulli,Cap Andreas,Khirokitia,Shillourokambos,Ashkelon,Kalavasos Tenta,Kritou-Marottou,Tell el Kerkh 2,Halula,Damishliyya I,Nahal Zehora II,Yumuktepe,Horvat Usa,Akarcay Tepe,Tell Labweh
Ilicapinar,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Avla Dag,100,200,200,100,100,15,0,55,47,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,75,0,40,71,50,100,100
Kumluk,100,200,200,100,100,15,0,55,47,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,75,0,40,71,50,100,100
Mersin,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Judaidah,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
El Kowm 2,15,15,15,15,15,200,62,124,77,57,50,0,62,62,62,62,62,15,15,15,15,15,15,15,17,65,122,163,20,77,15,51
Umm et Tlel,0,0,0,0,0,62,200,96,108,57,0,0,89,67,100,200,100,0,0,0,0,0,0,0,1,25,140,40,0,100,0,35
Qdeir,55,55,55,55,55,124,96,200,143,57,47,0,89,67,96,96,96,55,55,55,57,57,55,55,58,107,143,127,57,146,55,92
Abu Hureyra,47,47,47,47,47,77,108,143,200,57,0,40,129,107,140,108,140,47,47,47,47,47,47,47,49,72,108,80,47,147,47,82
Sotto,0,0,0,0,0,57,57,57,57,200,143,0,57,57,57,57,57,0,0,0,0,0,0,0,1,75,57,40,0,57,0,35
Kul Tepe,0,0,0,0,0,50,0,47,0,143,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,50,0,0,0,0
Shimshara,0,0,0,0,0,0,0,0,40,0,0,200,111,133,100,0,100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Jarmo,0,0,0,0,0,62,89,89,129,57,0,111,200,178,189,89,189,0,0,0,0,0,0,0,2,25,89,40,0,89,0,35
Sarab,0,0,0,0,0,62,67,67,107,57,0,133,178,200,167,67,167,0,0,0,0,0,0,0,2,25,67,40,0,67,0,35
Guran,0,0,0,0,0,62,100,96,140,57,0,100,189,167,200,100,200,0,0,0,0,0,0,0,2,25,100,40,0,100,0,35
Choga Sefid,0,0,0,0,0,62,200,96,108,57,0,0,89,67,100,200,100,0,0,0,0,0,0,0,1,25,140,40,0,100,0,35
Ali Kosh,0,0,0,0,0,62,100,96,140,57,0,100,189,167,200,100,200,0,0,0,0,0,0,0,2,25,100,40,0,100,0,35
Klepini Troulli,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Cap Andreas,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Khirokitia,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Shillourokambos,191,100,100,191,191,15,0,57,47,0,0,0,0,0,0,0,0,191,191,191,200,137,191,191,193,84,0,40,81,50,191,162
Ashkelon,127,100,100,127,127,15,0,57,47,0,0,0,0,0,0,0,0,127,127,127,137,200,127,127,141,100,0,40,144,50,127,139
Kalavasos Tenta,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Kritou-Marottou,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Tell el Kerkh 2,183,100,100,183,183,17,1,58,49,1,0,2,2,2,2,1,2,183,183,183,193,141,183,183,200,89,1,41,86,51,183,166
Halula,75,75,75,75,75,65,25,107,72,75,75,0,25,25,25,25,25,75,75,75,84,100,75,75,89,200,50,90,96,75,75,112
Damishliyya I,0,0,0,0,0,122,140,143,108,57,50,0,89,67,100,140,100,0,0,0,0,0,0,0,1,50,200,100,0,100,0,35
Nahal Zehora II,40,40,40,40,40,163,40,127,80,40,50,0,40,40,40,40,40,40,40,40,40,40,40,40,41,90,100,200,40,80,40,75
Yumuktepe,71,71,71,71,71,20,0,57,47,0,0,0,0,0,0,0,0,71,71,71,81,144,71,71,86,96,0,40,200,50,71,83
Horvat Usa,50,50,50,50,50,77,100,146,147,57,0,0,89,67,100,100,100,50,50,50,50,50,50,50,51,75,100,80,50,200,50,85
Akarcay Tepe,200,100,100,200,200,15,0,55,47,0,0,0,0,0,0,0,0,200,200,200,191,127,200,200,183,75,0,40,71,50,200,153
Tell Labweh,153,100,100,153,153,51,35,92,82,35,0,0,35,35,35,35,35,153,153,153,162,139,153,153,166,112,35,75,83,85,153,200
