Site,ID,Period,Country,Region,Latitude,Longitude,GN,Walktrap,Palla
Ilicapinar,1,5,Turkey,Central Anatolia,38.566667,32.933333,1,2,
Avla Dag,2,5,Turkey,Central Anatolia,38.566667,34.933333,1,2,
Kumluk,3,5,Turkey,Central Anatolia,38.583333,35.166667,1,2,
Mersin,4,5,Turkey,Central Anatolia,36.833333,34.566667,1,2,
Judaidah (Tell al-),5,5,Turkey,Northern Levant,36.266667,36.6,1,2,
El Kowm 2,6,5,Syria,Northern Levant,35.183333,38.866667,2,1,
Umm et-Tlel,7,5,Syria,Northern Levant,34.85,40.51,3,1,
Qdeir,8,5,Syria,Northern Levant,35.25,38.85,4,1,
Abu Hureyra,9,5,Syria,Middle Euphrate,35.86666667,38.38333333,5,1,
Sotto,10,5,Iraq,Jezireh,36.366667,42.316667,3,1,
Kul Tepe,11,5,Iraq,Jezireh,36.133333,42.05,6,1,
Shimshara,12,5,Iraq,Northern Zagros,36.2,44.95,3,1,
Jarmo,13,5,Iraq,Northern Zagros,35.533333,44.933333,3,1,
Sarab,14,5,Iran,Southern Zagros,34.366667,47.083333,3,1,
Guran,15,5,Iran,Southern Zagros,33.93333333,47.18333333,3,1,
Choga Sefid,16,5,Iran,Southern Zagros,32.616667,47.25,3,1,
Ali Kosh,17,5,Iran,Southern Zagros,32.55,47.4,3,1,
Klepini-Troulli,18,5,Cyprus,Cyprus,35.2978,33.4448,1,2,
Cap Andreas,19,5,Cyprus,Cyprus,35.691667,34.583333,1,2,
Khirokitia,20,5,Cyprus,Cyprus,34.79543,33.34455,1,2,
Shillourokambos,21,5,Cyprus,Cyprus,34.721,33.014,1,2,
Ashkelon,22,5,Israel,Southern Levant,31.66666667,34.55,1,2,
Kalavasos Tenta,23,5,Cyprus,Cyprus,34.75249,33.30293,1,2,
Kritou-Marottou,24,5,Cyprus,Cyprus,34.9267,32.5625,1,2,
Tell el-Kerkh 2,25,5,Syria,Northern Levant,35.816667,36.45,1,2,
Halula,26,5,Syria,Middle Euphrate,36.4167,38.1667,7,2,
Damishliyya I,27,5,Syria,Middle Euphrate,36.516667,39.033333,3,1,
Nahal Zehora II,28,5,Israel,Southern Levant,32.41,34.99,8,1,
Yumuktepe,29,5,Turkey,Central Anatolia,36.833333,34.566667,1,2,
Horvat Usa,30,5,Israel,Southern Levant,32.64,35.66,9,1,
Akarcay Tepe,31,5,Turkey,Northern Levant,36.919178,38.025658,1,2,
Tell Labweh,32,5,Lebanon,Northern Levant,34.183333,36.316667,1,2,
