"Kashkashok","Ilipinar","Domuztepe","Kurdu","Tilki Tepe","Ayngerm","Ras Shamra","Tell Sabi Abyad I","Halaf","Chagar Bazar","Yarim II","Arpachiyah","Banahilk","Choga Mami","Tamar Tepe","Choga Sefid","Sabz","Byblos","Hagoshrim","Givat Ha-Parsa","Tabbat al Hammam","Tel Mevorakh","Tell Aray 1","Tell Umm Qseir"
"Kashkashok",0,0,0.047,0,0,0,0,0.756,0,0,0.476,0,0,0.013,0,0.918,0,0.561,0.002,0,0,0.014,0.043,0.002
"Ilipinar",0,0,0.8,0.95,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.049,0.392,0.411,0,0,0
"Domuztepe",0.047,0.8,0,1,0,0.004,1,0.606,0,0.14,0,0,0,0.068,0,0.97,0,0.864,0.245,0.935,0.938,0,0.129,0.321
"Kurdu",0,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0.975,0.978,0,0,0
"Tilki Tepe",0,0,0,0,0,0.007,0,0,0.884,0.993,0.004,0.882,0,0,0.996,0,0.996,0.734,0.047,0,0,0,0.002,0
"Ayngerm",0,0,0.004,0,0.007,0,0,0,0,0.474,0,0,0,0,0,0,0,0,0.074,0,0,0,0.51,0.653
"Ras Shamra",0,0.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0.975,0.978,0,0,0
"Tell Sabi Abyad I",0.756,0,0.606,0,0,0,0,0,0,0,0.714,0,0,0.025,0,0,0,0,0.199,0,0,0,0.417,0.018
"Halaf",0,0,0,0,0.884,0,0,0,0,0,0.352,0,0.619,0.071,0,0,0,0,0.053,0,0,0,0,0
"Chagar Bazar",0,0,0.14,0,0.993,0.474,0,0,0,0,0.061,0,0.632,0.072,0,0,0,0,0.889,0,0,0,0.953,0.681
"Yarim II",0.476,0,0,0,0.004,0,0,0.714,0.352,0.061,0,0.045,0.198,0.445,0.241,0,0.241,0.088,0,0,0,0.686,0,0
"Arpachiyah",0,0,0,0,0.882,0,0,0,0,0,0.045,0,0.621,0,0.858,0,0.858,0,0.054,0,0,0,0,0
"Banahilk",0,0,0,0,0,0,0,0,0.619,0.632,0.198,0.621,0,0.708,0.886,0,0.886,0.63,0,0,0,0.825,0,0
"Choga Mami",0.013,0,0.068,0,0,0,0,0.025,0.071,0.072,0.445,0,0.708,0,0,0.506,0,0.394,0.076,0,0,0.372,0.018,0
"Tamar Tepe",0,0,0,0,0.996,0,0,0,0,0,0.241,0.858,0.886,0,0,0,0,0,0.229,0,0,0,0,0
"Choga Sefid",0.918,0,0.97,0,0,0,0,0,0,0,0,0,0,0.506,0,0,0,0,0.704,0,0,0,0.972,0.531
"Sabz",0,0,0,0,0.996,0,0,0,0,0,0.241,0.858,0.886,0,0,0,0,0,0.229,0,0,0,0,0
"Byblos",0.561,0,0.864,0,0.734,0,0,0,0,0,0.088,0,0.63,0.394,0,0,0,0,0.793,0,0,0,0.817,0.082
"Hagoshrim",0.002,0.049,0.245,0.554,0.047,0.074,0.554,0.199,0.053,0.889,0,0.054,0,0.076,0.229,0.704,0.229,0.793,0,0.092,0.101,0,0.169,0.369
"Givat Ha-Parsa",0,0.392,0.935,0.975,0,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.577,0,0,0
"Tabbat al Hammam",0,0.411,0.938,0.978,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0.101,0.577,0,0,0,0
"Tel Mevorakh",0.014,0,0,0,0,0,0,0,0,0,0.686,0,0.825,0.372,0,0,0,0,0,0,0,0,0,0
"Tell Aray 1",0.043,0,0.129,0,0.002,0.51,0,0.417,0,0.953,0,0,0,0.018,0,0.972,0,0.817,0.169,0,0,0,0,0.981
"Tell Umm Qseir",0.002,0,0.321,0,0,0.653,0,0.018,0,0.681,0,0,0,0,0,0.531,0,0.082,0.369,0,0,0,0.981,0
