Site,ID,Period,Country,Region,Latitude,Longitude,GN,Walktrap,Palla
Assouad,1,4,Syria,Middle Euphrate,36.566667,39.016667,,,
Halula,2,4,Syria,Middle Euphrate,36.4167,38.1667,,,
Abu Hureyra,3,4,Syria,Middle Euphrate,35.86666667,38.38333333,,,
Ras Shamra,4,4,Syria,Northern Levant,35.6,35.633333,,,
Bouqras,5,4,Syria,Jezireh,35.066667,40.383333,,,
Tell es-Sinn,6,4,Syria,Jezireh,35.8,40.3,,,
Ghoraife,7,4,Syria,Central Levant,33.516667,36.533333,,,
Ramad (Tell),8,4,Syria,Central Levant,33.4,36.1,,,
Beisamoun,9,4,Israel,Southern Levant,33.166667,35.55,,,
el-Khiam,10,4,Palestine,Southern Levant,31.633333,35.266667,,,
Shillourokambos,11,4,Cyprus,Cyprus,34.721,33.014,,,
Magzalia,12,4,Iraq,Jezireh,36.4,42.316667,,,
Shimshara,13,4,Iraq,Northern Zagros,36.2,44.95,,,
Jarmo,14,4,Iraq,Northern Zagros,35.533333,44.933333,,,
Tamerkhan,15,4,Iraq,Mesopotamian plain,33.733333,47.533333,,,
Guran,16,4,Iran,Southern Zagros,33.93333333,47.18333333,,,
Choga Sefid,17,4,Iran,Southern Zagros,32.616667,47.25,,,
Ali Kosh,18,4,Iran,Southern Zagros,32.55,47.4,,,
Tell Sabi Abyad I,19,4,Syria,Jezireh,36.516667,39.1,,,
Tell Sabi Abyad II,20,4,Syria,Jezireh,36.516667,39.1,,,
Ain Miri,21,4,Israel,Southern Levant,33.066667,35.45,,,
Tell el-Kerkh 2,22,4,Syria,Northern Levant,35.816667,36.45,,,
Wadi Tumbaq,23,4,Syria,Northern Levant,35.027,37.429,,,
Akarcay Tepe,24,4,Turkey,Northern Levant,36.919178,38.025658,,,
Gurcutepe I,25,4,Turkey,Middle Euphrates,37.119772,38.845938,,,
Tell Labweh,26,4,Lebanon,Northern Levant,34.183333,36.316667,,,
